Timestamp,Heart_rate,RR intervals
2023-04-30 21:33:17,114,"[506, 490]"
2023-04-30 21:33:18,118,"[489, 480]"
2023-04-30 21:33:19,121,"[478, 459]"
2023-04-30 21:33:20,125,"[464, 458]"
2023-04-30 21:33:21,130,"[450, 454, 454]"
2023-04-30 21:33:22,132,"[449, 448]"
2023-04-30 21:33:23,134,"[446, 444]"
2023-04-30 21:33:24,136,"[444, 440, 440]"
2023-04-30 21:33:25,137,"[441, 440]"
2023-04-30 21:33:26,138,"[440, 440]"
2023-04-30 21:33:27,139,"[440, 442, 444]"
2023-04-30 21:33:28,139,"[446, 446]"
2023-04-30 21:33:29,138,"[450, 452]"
2023-04-30 21:33:30,137,"[451, 451]"
2023-04-30 21:33:31,137,"[450, 450, 450]"
2023-04-30 21:33:32,137,"[450, 454]"
2023-04-30 21:33:33,136,"[457, 462]"
2023-04-30 21:33:34,135,"[468, 482]"
2023-04-30 21:33:35,133,"[478, 483]"
2023-04-30 21:33:36,131,"[490, 490]"
2023-04-30 21:33:37,129,"[495, 503]"
2023-04-30 21:33:38,126,"[509, 524]"
2023-04-30 21:33:39,123,"[519, 517]"
2023-04-30 21:33:40,122,"[528, 515]"
2023-04-30 21:33:41,120,"[516, 510]"
2023-04-30 21:33:42,120,"[519, 512]"
2023-04-30 21:33:43,120,[542]
2023-04-30 21:33:44,115,"[610, 671]"
2023-04-30 21:33:45,105,"[657, 642]"
2023-04-30 21:33:46,103,[629]
2023-04-30 21:33:47,102,"[577, 594]"
2023-04-30 21:33:48,104,"[549, 558]"
2023-04-30 21:33:49,106,"[574, 558]"
2023-04-30 21:33:50,107,"[548, 541]"
2023-04-30 21:33:51,109,"[542, 556]"
2023-04-30 21:33:53,110,"[552, 547]"
2023-04-30 21:33:53,110,[542]
2023-04-30 21:33:54,111,"[542, 557]"
2023-04-30 21:33:55,111,"[557, 552]"
2023-04-30 21:33:57,111,"[572, 589]"
2023-04-30 21:33:57,110,[592]
2023-04-30 21:33:58,108,"[602, 622]"
2023-04-30 21:33:59,105,"[631, 657]"
2023-04-30 21:34:00,103,[640]
2023-04-30 21:34:01,100,"[630, 636]"
2023-04-30 21:34:03,100,[621]
2023-04-30 21:34:04,99,"[634, 651]"
2023-04-30 21:34:05,97,"[658, 672]"
2023-04-30 21:34:08,97,[637]
2023-04-30 21:34:08,96,"[652, 642]"
2023-04-30 21:34:08,96,[638]
2023-04-30 21:34:09,96,"[632, 601]"
2023-04-30 21:34:09,98,"[575, 572]"
2023-04-30 21:34:10,101,"[568, 564]"
2023-04-30 21:34:11,104,"[555, 556]"
2023-04-30 21:34:12,106,"[562, 560]"
2023-04-30 21:34:13,107,[544]
2023-04-30 21:34:15,109,"[556, 558]"
2023-04-30 21:34:15,109,"[572, 554]"
2023-04-30 21:34:16,110,"[536, 544]"
2023-04-30 21:34:17,111,"[542, 556]"
2023-04-30 21:34:18,111,"[572, 564]"
2023-04-30 21:34:19,110,"[551, 546]"
2023-04-30 21:34:21,111,[551]
2023-04-30 21:34:21,111,"[538, 542]"
2023-04-30 21:34:23,112,"[535, 533]"
2023-04-30 21:34:24,113,"[527, 543]"
2023-04-30 21:34:25,113,"[553, 544]"
2023-04-30 21:34:26,113,"[571, 570]"
2023-04-30 21:34:28,111,"[569, 568]"
2023-04-30 21:34:28,110,[554]
2023-04-30 21:34:29,110,"[565, 573]"
2023-04-30 21:34:31,109,"[572, 565]"
2023-04-30 21:34:31,109,"[564, 564]"
2023-04-30 21:34:32,109,"[566, 549]"
2023-04-30 21:34:33,110,"[534, 541]"
2023-04-30 21:34:33,112,"[538, 532]"
2023-04-30 21:34:35,112,[538]
2023-04-30 21:34:36,113,"[558, 576]"
2023-04-30 21:34:37,110,"[596, 605]"
2023-04-30 21:34:38,109,[578]
2023-04-30 21:34:38,107,"[602, 596]"
2023-04-30 21:34:39,105,"[621, 594]"
2023-04-30 21:34:40,104,"[576, 613]"
2023-04-30 21:34:41,105,"[538, 543]"
2023-04-30 21:34:42,106,[566]
2023-04-30 21:34:44,108,"[537, 543]"
2023-04-30 21:34:44,110,"[557, 540]"
2023-04-30 21:34:46,111,"[537, 570]"
2023-04-30 21:34:46,111,"[556, 570]"
2023-04-30 21:34:47,110,[580]
2023-04-30 21:34:49,108,"[605, 606]"
2023-04-30 21:34:50,106,"[622, 612]"
2023-04-30 21:34:50,104,"[574, 593]"
2023-04-30 21:34:51,105,"[579, 556]"
2023-04-30 21:34:52,105,[537]
2023-04-30 21:34:53,110,"[532, 526, 513]"
2023-04-30 21:34:54,113,"[505, 504]"
2023-04-30 21:34:55,115,[510]
2023-04-30 21:34:57,117,"[524, 545]"
2023-04-30 21:34:57,115,"[588, 637]"
2023-04-30 21:34:58,109,[666]
2023-04-30 21:34:59,104,"[662, 602]"
2023-04-30 21:35:00,102,"[601, 615]"
2023-04-30 21:35:01,102,[621]
2023-04-30 21:35:02,101,"[627, 618]"
2023-04-30 21:35:03,101,"[590, 643]"
2023-04-30 21:35:04,101,[615]
2023-04-30 21:35:05,100,"[597, 583]"
