Timestamp,Heart rate,RR intervals
2023-04-29 22:55:08,114,"[524, 513]"
2023-04-29 22:55:08,116,"[507, 511]"
2023-04-29 22:55:10,118,"[503, 497]"
2023-04-29 22:55:11,120,"[493, 484]"
2023-04-29 22:55:11,122,"[496, 487]"
2023-04-29 22:55:13,123,"[487, 480]"
2023-04-29 22:55:14,125,"[490, 486]"
2023-04-29 22:55:14,125,"[485, 486]"
2023-04-29 22:55:16,126,"[486, 484, 491]"
2023-04-29 22:55:17,126,"[493, 506]"
2023-04-29 22:55:17,125,[518]
2023-04-29 22:55:19,123,"[519, 552]"
2023-04-29 22:55:20,119,"[549, 555]"
2023-04-29 22:55:20,117,"[540, 543]"
2023-04-29 22:55:22,115,"[549, 546]"
2023-04-29 22:55:23,114,"[536, 530]"
2023-04-29 22:55:23,115,"[537, 537]"
2023-04-29 22:55:25,115,"[527, 528]"
2023-04-29 22:55:26,116,"[522, 524]"
2023-04-29 22:55:26,116,[533]
2023-04-29 22:55:28,116,"[538, 561]"
2023-04-29 22:55:29,114,"[542, 543]"
2023-04-29 22:55:29,114,"[548, 551]"
2023-04-29 22:55:31,113,[574]
2023-04-29 22:55:32,111,"[623, 658]"
2023-04-29 22:55:32,106,"[600, 604]"
2023-04-29 22:55:34,105,[612]
2023-04-29 22:55:35,104,"[594, 628]"
2023-04-29 22:55:35,102,"[633, 656]"
2023-04-29 22:55:37,101,[637]
2023-04-29 22:55:38,99,"[602, 632]"
2023-04-29 22:55:39,99,"[626, 636]"
2023-04-29 22:55:40,99,[620]
2023-04-29 22:55:41,98,"[639, 649]"
2023-04-29 22:55:42,98,[665]
2023-04-29 22:55:43,96,"[645, 674]"
2023-04-29 22:55:44,95,"[650, 635]"
2023-04-29 22:55:45,95,[599]
2023-04-29 22:55:46,97,"[605, 593]"
2023-04-29 22:55:47,99,"[591, 580]"
2023-04-29 22:55:48,102,"[574, 577]"
2023-04-29 22:55:49,103,[578]
2023-04-29 22:55:50,104,"[583, 575]"
2023-04-29 22:55:51,104,"[593, 615]"
2023-04-29 22:55:52,104,[637]
2023-04-29 22:55:53,101,"[663, 687]"
2023-04-29 22:55:54,99,[650]
2023-04-29 22:55:55,96,"[714, 703]"
2023-04-29 22:55:57,95,[697]
2023-04-29 22:55:57,93,"[642, 620]"
2023-04-29 22:55:58,95,"[621, 617]"
2023-04-29 22:55:59,96,[626]
2023-04-29 22:56:00,97,"[613, 593]"
2023-04-29 22:56:01,98,"[630, 629]"
2023-04-29 22:56:02,98,[616]
2023-04-29 22:56:03,99,"[611, 613]"
2023-04-29 22:56:04,99,"[602, 568]"
2023-04-29 22:56:05,102,"[561, 554]"
2023-04-29 22:56:06,105,"[541, 545]"
2023-04-29 22:56:07,107,[552]
2023-04-29 22:56:19,82,"[735, 687]"
2023-04-29 22:56:20,82,[733]
2023-04-29 22:56:20,83,"[719, 696]"
2023-04-29 22:56:22,84,"[682, 632]"
2023-04-29 22:56:23,85,[632]
2023-04-29 22:56:23,89,"[598, 591]"
2023-04-29 22:56:25,93,"[588, 558]"
2023-04-29 22:56:26,98,"[557, 570]"
2023-04-29 22:56:26,100,[570]
2023-04-29 22:56:28,103,"[578, 569]"
2023-04-29 22:56:29,104,"[589, 595]"
2023-04-29 22:56:29,104,"[602, 590]"
2023-04-29 22:56:31,104,[606]
2023-04-29 22:56:32,103,"[598, 589]"
2023-04-29 22:56:32,103,"[587, 590]"
2023-04-29 22:56:34,104,[601]
2023-04-29 22:56:35,103,"[593, 611]"
2023-04-29 22:56:36,102,"[622, 627]"
2023-04-29 22:56:37,102,[637]
2023-04-29 22:56:38,100,"[654, 650]"
2023-04-29 22:56:38,99,[633]
2023-04-29 22:56:40,98,"[641, 641]"
2023-04-29 22:56:41,98,"[604, 623]"
2023-04-29 22:56:42,98,"[625, 600]"
