Timestamp,Heart_rate,RR intervals
2023-04-29 23:11:29,83,[677]
2023-04-29 23:11:29,84,"[709, 683]"
2023-04-29 23:11:31,84,[655]
2023-04-29 23:11:32,87,"[629, 628]"
2023-04-29 23:11:32,88,[654]
2023-04-29 23:11:34,89,"[710, 705]"
2023-04-29 23:11:35,89,[676]
2023-04-29 23:11:35,89,"[702, 674]"
2023-04-29 23:11:37,89,[680]
2023-04-29 23:11:38,90,"[651, 647]"
2023-04-29 23:11:38,91,"[618, 597]"
2023-04-29 23:11:40,95,"[599, 578]"
2023-04-29 23:11:41,98,"[568, 559]"
2023-04-29 23:11:41,103,"[546, 536]"
2023-04-29 23:11:43,105,[529]
2023-04-29 23:11:44,109,"[523, 516]"
2023-04-29 23:11:45,112,"[533, 536]"
2023-04-29 23:11:46,113,"[535, 545]"
2023-04-29 23:11:47,113,"[556, 549]"
2023-04-29 23:11:48,112,"[555, 561]"
2023-04-29 23:11:49,112,"[552, 561]"
2023-04-29 23:11:50,111,[564]
2023-04-29 23:11:51,111,"[563, 555]"
2023-04-29 23:11:52,110,"[555, 562]"
2023-04-29 23:11:53,110,"[567, 574]"
2023-04-29 23:11:54,110,[601]
2023-04-29 23:11:55,107,"[639, 629]"
2023-04-29 23:11:56,105,[636]
2023-04-29 23:11:57,101,"[673, 649]"
2023-04-29 23:11:58,99,"[639, 658]"
2023-04-29 23:12:01,98,[640]
2023-04-29 23:12:01,97,"[621, 633]"
2023-04-29 23:12:02,98,[643]
2023-04-29 23:12:02,97,"[658, 612]"
2023-04-29 23:12:03,97,"[654, 660]"
2023-04-29 23:12:04,96,[705]
2023-04-29 23:12:05,95,"[603, 690]"
2023-04-29 23:12:06,95,[643]
2023-04-29 23:12:07,94,"[674, 642]"
2023-04-29 23:12:08,94,[686]
2023-04-29 23:12:09,94,"[636, 691]"
2023-04-29 23:12:10,94,[667]
2023-04-29 23:12:11,92,"[739, 661]"
2023-04-29 23:12:12,92,[736]
2023-04-29 23:12:13,91,[723]
2023-04-29 23:12:14,89,"[714, 736]"
2023-04-29 23:12:15,89,[741]
2023-04-29 23:12:16,87,"[720, 710]"
2023-04-29 23:12:17,87,[700]
2023-04-29 23:12:18,88,"[664, 688]"
2023-04-29 23:12:20,88,[687]
2023-04-29 23:12:20,89,"[663, 709]"
2023-04-29 23:12:22,89,[733]
2023-04-29 23:12:22,88,"[725, 646]"
2023-04-29 23:12:23,88,[646]
2023-04-29 23:12:24,90,"[644, 676]"
2023-04-29 23:12:25,90,[698]
2023-04-29 23:12:27,90,"[653, 650]"
2023-04-29 23:12:28,91,"[661, 669]"
2023-04-29 23:12:28,92,[630]
2023-04-29 23:12:46,86,[701]
2023-04-29 23:12:47,86,"[685, 657]"
2023-04-29 23:12:47,88,"[657, 612]"
2023-04-29 23:12:49,91,"[609, 614]"
2023-04-29 23:12:50,92,[590]
2023-04-29 23:12:50,96,"[564, 558]"
2023-04-29 23:12:52,100,"[570, 574]"
2023-04-29 23:12:53,103,"[558, 559]"
2023-04-29 23:12:53,105,"[570, 576]"
2023-04-29 23:12:55,106,[569]
2023-04-29 23:12:56,106,"[580, 586]"
2023-04-29 23:12:56,106,"[599, 593]"
2023-04-29 23:12:58,105,"[574, 582]"
2023-04-29 23:12:59,105,[583]
2023-04-29 23:13:00,105,"[588, 609]"
2023-04-29 23:13:01,104,"[598, 619]"
2023-04-29 23:13:02,104,[624]
2023-04-29 23:13:02,103,[663]
2023-04-29 23:13:04,99,"[708, 694]"
2023-04-29 23:13:05,97,[705]
2023-04-29 23:13:05,93,"[744, 770]"
2023-04-29 23:13:07,91,[740]
2023-04-29 23:13:08,89,"[703, 678]"
2023-04-29 23:13:08,89,[645]
2023-04-29 23:13:10,90,"[640, 604]"
2023-04-29 23:13:11,92,[640]
2023-04-29 23:13:11,93,"[657, 704]"
2023-04-29 23:13:13,93,[747]
2023-04-29 23:13:14,90,"[736, 708]"
2023-04-29 23:13:15,89,[738]
2023-04-29 23:13:16,88,"[729, 706]"
2023-04-29 23:13:17,88,[663]
2023-04-29 23:13:18,89,"[652, 631]"
2023-04-29 23:13:19,91,"[636, 615]"
2023-04-29 23:13:20,92,[610]
2023-04-29 23:13:22,95,"[586, 610]"
2023-04-29 23:13:22,96,[624]
2023-04-29 23:13:23,96,"[680, 724]"
2023-04-29 23:13:24,95,[692]
2023-04-29 23:13:25,93,[752]
2023-04-29 23:13:26,90,"[778, 779]"
2023-04-29 23:13:27,88,[712]
2023-04-29 23:13:28,87,"[726, 740]"
2023-04-29 23:13:29,87,[686]
2023-04-29 23:13:30,87,"[654, 618]"
2023-04-29 23:13:31,89,[637]
2023-04-29 23:13:32,91,"[654, 660]"
2023-04-29 23:13:33,91,[666]
2023-04-29 23:13:34,91,"[701, 759]"
2023-04-29 23:13:34,90,[742]
2023-04-29 23:13:35,89,[776]
2023-04-29 23:13:36,88,[810]
2023-04-29 23:13:38,85,"[827, 773]"
2023-04-29 23:13:39,84,[794]
2023-04-29 23:13:40,83,[803]
2023-04-29 23:13:41,82,"[774, 739]"
2023-04-29 23:13:42,82,[777]
2023-04-29 23:13:43,82,[801]
2023-04-29 23:13:45,81,[807]
2023-04-29 23:13:45,80,"[831, 884]"
2023-04-29 23:13:46,79,[878]
2023-04-29 23:13:58,79,[682]
2023-04-29 23:13:59,81,"[680, 655]"
2023-04-29 23:13:59,82,[673]
2023-04-29 23:14:01,84,[701]
2023-04-29 23:14:02,84,"[746, 700]"
2023-04-29 23:14:02,84,[734]
2023-04-29 23:14:04,84,"[764, 738]"
2023-04-29 23:14:05,84,[711]
2023-04-29 23:14:05,84,[747]
2023-04-29 23:14:07,84,"[764, 725]"
2023-04-29 23:14:08,84,[748]
2023-04-29 23:14:08,84,[774]
2023-04-29 23:14:10,83,"[768, 723]"
2023-04-29 23:14:11,83,[767]
2023-04-29 23:14:11,83,[768]
2023-04-29 23:14:13,82,"[724, 770]"
2023-04-29 23:14:14,82,[769]
2023-04-29 23:14:14,82,[734]
2023-04-29 23:14:16,82,"[735, 768]"
2023-04-29 23:14:17,82,[780]
2023-04-29 23:14:17,82,[741]
2023-04-29 23:14:19,82,"[783, 798]"
2023-04-29 23:14:20,81,[755]
2023-04-29 23:14:21,81,"[735, 749]"
2023-04-29 23:14:22,81,[747]
2023-04-29 23:14:23,82,"[683, 694]"
2023-04-29 23:14:23,83,[679]
2023-04-29 23:14:25,85,"[652, 672]"
2023-04-29 23:14:25,86,[704]
2023-04-29 23:14:27,86,[739]
2023-04-29 23:14:28,86,"[698, 767]"
2023-04-29 23:14:29,86,[779]
2023-04-29 23:14:30,85,[719]
2023-04-29 23:14:31,84,"[747, 759]"
2023-04-29 23:14:32,84,[730]
2023-04-29 23:14:33,84,"[725, 762]"
2023-04-29 23:14:34,84,[742]
2023-04-29 23:14:35,84,[713]
2023-04-29 23:14:36,84,"[758, 738]"
2023-04-29 23:14:37,83,[702]
2023-04-29 23:14:38,84,"[670, 726]"
2023-04-29 23:14:39,85,[734]
2023-04-29 23:14:40,84,"[767, 747]"
2023-04-29 23:14:41,84,[690]
2023-04-29 23:14:42,85,"[708, 698]"
2023-04-29 23:14:43,85,[715]
2023-04-29 23:14:44,85,[675]
2023-04-29 23:14:45,86,"[707, 731]"
2023-04-29 23:14:46,86,[771]
2023-04-29 23:14:47,85,[758]
2023-04-29 23:14:48,85,[805]
2023-04-29 23:14:49,83,"[808, 786]"
2023-04-29 23:14:50,82,[798]
2023-04-29 23:14:51,82,[813]
2023-04-29 23:14:52,81,"[810, 767]"
2023-04-29 23:15:01,80,[802]
2023-04-29 23:15:01,80,[801]
2023-04-29 23:15:01,80,[769]
2023-04-29 23:15:01,79,"[814, 837]"
2023-04-29 23:15:01,79,[861]
2023-04-29 23:15:01,78,[834]
2023-04-29 23:15:01,78,[874]
2023-04-29 23:15:01,77,[872]
2023-04-29 23:15:01,76,"[808, 844]"
2023-04-29 23:15:12,78,"[774, 733]"
2023-04-29 23:15:14,78,[765]
2023-04-29 23:15:14,79,"[731, 703]"
2023-04-29 23:15:16,80,[679]
2023-04-29 23:15:17,82,"[650, 657]"
2023-04-29 23:15:17,83,[647]
2023-04-29 23:15:18,86,"[647, 692]"
2023-04-29 23:15:20,87,[712]
2023-04-29 23:15:20,87,"[669, 711]"
2023-04-29 23:15:21,87,[713]
2023-04-29 23:15:23,87,[676]
2023-04-29 23:15:23,88,"[698, 710]"
2023-04-29 23:15:24,88,[719]
2023-04-29 23:15:26,87,"[676, 712]"
2023-04-29 23:15:27,88,[738]
2023-04-29 23:15:27,86,"[769, 706]"
2023-04-29 23:15:29,86,[723]
2023-04-29 23:15:29,86,[741]
2023-04-29 23:15:30,85,"[750, 723]"
2023-04-29 23:15:32,85,[770]
2023-04-29 23:15:32,85,[771]
2023-04-29 23:15:33,84,"[722, 741]"
2023-04-29 23:15:35,84,[746]
2023-04-29 23:15:35,84,"[762, 714]"
2023-04-29 23:15:36,83,[760]
2023-04-29 23:15:38,83,[789]
2023-04-29 23:15:38,83,[808]
2023-04-29 23:15:39,82,"[753, 800]"
2023-04-29 23:15:41,82,[819]
2023-04-29 23:15:42,81,[825]
2023-04-29 23:15:43,80,"[775, 811]"
2023-04-29 23:15:44,80,[819]
2023-04-29 23:15:45,79,[776]
2023-04-29 23:15:46,79,[770]
2023-04-29 23:15:47,79,"[807, 815]"
2023-04-29 23:15:48,79,[782]
2023-04-29 23:15:49,79,[764]
2023-04-29 23:15:51,79,[816]
2023-04-29 23:15:51,78,"[817, 782]"
2023-04-29 23:15:52,78,[789]
2023-04-29 23:15:53,78,[790]
2023-04-29 23:15:54,78,"[775, 755]"
2023-04-29 23:15:55,78,[773]
2023-04-29 23:15:56,79,[771]
2023-04-29 23:15:57,79,"[745, 806]"
2023-04-29 23:16:01,79,[815]
2023-04-29 23:16:01,79,[776]
2023-04-29 23:16:01,78,[820]
2023-04-29 23:16:01,78,"[830, 805]"
2023-04-29 23:16:02,78,[819]
2023-04-29 23:16:03,77,[827]
2023-04-29 23:16:03,77,"[815, 779]"
2023-04-29 23:16:04,77,[826]
2023-04-29 23:16:06,77,[826]
2023-04-29 23:16:07,77,"[765, 776]"
2023-04-29 23:16:08,77,[761]
2023-04-29 23:16:09,77,[717]
2023-04-29 23:16:10,79,"[725, 723]"
2023-04-29 23:16:11,79,[729]
2023-04-29 23:16:13,80,[728]
2023-04-29 23:16:13,81,"[755, 762]"
2023-04-29 23:16:25,86,[734]
2023-04-29 23:16:26,86,[748]
2023-04-29 23:16:26,85,"[744, 722]"
2023-04-29 23:16:27,85,[757]
2023-04-29 23:16:29,85,[778]
2023-04-29 23:16:29,84,"[761, 758]"
2023-04-29 23:16:30,83,[805]
2023-04-29 23:16:32,82,"[751, 713]"
2023-04-29 23:16:33,82,[678]
2023-04-29 23:16:33,84,"[693, 705]"
2023-04-29 23:16:35,84,[678]
2023-04-29 23:16:35,86,"[671, 691]"
2023-04-29 23:16:36,86,[716]
2023-04-29 23:16:38,86,"[744, 696]"
2023-04-29 23:16:38,86,[701]
2023-04-29 23:16:39,86,[706]
2023-04-29 23:16:41,86,"[722, 744]"
2023-04-29 23:16:41,86,[726]
2023-04-29 23:16:42,85,"[738, 713]"
2023-04-29 23:16:44,85,[692]
2023-04-29 23:16:44,86,"[677, 687]"
2023-04-29 23:16:45,87,[706]
2023-04-29 23:16:47,87,[694]
2023-04-29 23:16:47,87,"[723, 741]"
2023-04-29 23:16:48,87,[766]
2023-04-29 23:16:50,86,[740]
2023-04-29 23:16:50,85,"[769, 773]"
2023-04-29 23:16:51,84,[772]
2023-04-29 23:16:53,84,[735]
2023-04-29 23:16:53,83,"[767, 772]"
2023-04-29 23:16:54,83,[791]
2023-04-29 23:16:56,82,[763]
2023-04-29 23:16:57,82,"[808, 818]"
2023-04-29 23:16:58,81,[824]
2023-04-29 23:16:59,80,[801]
2023-04-29 23:17:00,80,[841]
2023-04-29 23:17:01,79,"[839, 814]"
2023-04-29 23:17:02,78,[802]
2023-04-29 23:17:03,78,[813]
2023-04-29 23:17:05,78,[818]
2023-04-29 23:17:05,78,"[770, 803]"
2023-04-29 23:17:06,78,[814]
2023-04-29 23:17:07,77,[787]
2023-04-29 23:17:08,78,"[737, 784]"
2023-04-29 23:17:09,78,[782]
2023-04-29 23:17:10,78,[752]
2023-04-29 23:17:11,79,"[746, 739]"
2023-04-29 23:17:12,79,[749]
2023-04-29 23:17:14,79,[749]
2023-04-29 23:17:14,80,"[759, 780]"
2023-04-29 23:17:15,80,[777]
2023-04-29 23:17:16,80,[739]
2023-04-29 23:17:17,80,"[786, 779]"
2023-04-29 23:17:18,80,[740]
2023-04-29 23:17:19,80,"[733, 773]"
2023-04-29 23:17:20,80,[774]
2023-04-29 23:17:21,80,[726]
2023-04-29 23:17:22,81,"[680, 720]"
2023-04-29 23:17:23,82,[734]
2023-04-29 23:17:24,82,"[746, 713]"
2023-04-29 23:17:35,82,"[758, 755]"
2023-04-29 23:17:35,82,[794]
2023-04-29 23:17:36,82,[805]
2023-04-29 23:17:38,81,[761]
2023-04-29 23:17:39,81,"[801, 810]"
2023-04-29 23:17:39,80,[785]
2023-04-29 23:17:41,80,[795]
2023-04-29 23:17:41,79,"[803, 812]"
2023-04-29 23:17:42,79,[752]
2023-04-29 23:17:44,79,[806]
2023-04-29 23:17:45,79,[807]
2023-04-29 23:17:45,79,"[784, 797]"
2023-04-29 23:17:47,79,[808]
2023-04-29 23:17:47,78,[810]
2023-04-29 23:17:48,78,"[751, 780]"
2023-04-29 23:17:50,78,[765]
2023-04-29 23:17:50,79,"[713, 705]"
2023-04-29 23:17:51,80,[710]
2023-04-29 23:17:53,81,"[736, 737]"
2023-04-29 23:17:53,81,[710]
2023-04-29 23:17:54,82,[713]
2023-04-29 23:17:56,82,[759]
2023-04-29 23:17:56,82,"[823, 858]"
2023-04-29 23:17:57,81,[850]
2023-04-29 23:17:59,80,[830]
2023-04-29 23:17:59,79,[855]
2023-04-29 23:18:00,78,"[844, 790]"
2023-04-29 23:18:02,78,[795]
2023-04-29 23:18:02,78,[785]
2023-04-29 23:18:04,78,[777]
2023-04-29 23:18:05,78,"[759, 801]"
2023-04-29 23:18:06,78,[818]
2023-04-29 23:18:07,78,[817]
2023-04-29 23:18:08,78,[828]
2023-04-29 23:18:09,77,"[856, 864]"
2023-04-29 23:18:11,76,[834]
2023-04-29 23:18:11,76,[864]
2023-04-29 23:18:12,76,[862]
2023-04-29 23:18:13,75,"[810, 816]"
2023-04-29 23:18:14,75,[805]
2023-04-29 23:18:15,75,[782]
2023-04-29 23:18:16,75,[815]
2023-04-29 23:18:17,76,[832]
2023-04-29 23:18:18,75,"[831, 843]"
2023-04-29 23:18:20,75,[861]
2023-04-29 23:18:20,75,[811]
2023-04-29 23:18:22,75,"[773, 802]"
2023-04-29 23:18:22,75,[828]
2023-04-29 23:18:23,75,[786]
2023-04-29 23:18:24,75,[768]
2023-04-29 23:18:25,76,"[819, 858]"
2023-04-29 23:18:26,76,[849]
2023-04-29 23:18:27,75,[790]
2023-04-29 23:18:28,75,[827]
2023-04-29 23:18:29,75,"[816, 791]"
2023-04-29 23:18:30,75,[784]
2023-04-29 23:18:30,76,[796]
2023-04-29 23:18:31,76,"[790, 753]"
2023-04-29 23:18:32,76,[791]
2023-04-29 23:18:33,77,[792]
2023-04-29 23:18:45,78,"[796, 789]"
2023-04-29 23:18:45,78,[747]
2023-04-29 23:18:47,78,[778]
2023-04-29 23:18:47,78,"[781, 762]"
2023-04-29 23:18:48,79,[769]
2023-04-29 23:18:50,79,[787]
2023-04-29 23:18:50,79,[783]
2023-04-29 23:18:51,79,"[756, 800]"
2023-04-29 23:18:53,79,[811]
2023-04-29 23:18:53,79,[780]
2023-04-29 23:18:54,78,"[814, 811]"
2023-04-29 23:18:56,78,[793]
2023-04-29 23:18:56,78,[784]
2023-04-29 23:18:57,78,"[805, 791]"
2023-04-29 23:18:59,78,[746]
2023-04-29 23:19:00,78,[771]
2023-04-29 23:19:01,78,"[777, 766]"
2023-04-29 23:19:02,79,[737]
2023-04-29 23:19:03,79,[776]
2023-04-29 23:19:03,79,"[780, 739]"
2023-04-29 23:19:05,79,[767]
2023-04-29 23:19:05,80,[768]
2023-04-29 23:19:07,80,"[755, 726]"
2023-04-29 23:19:08,80,[716]
2023-04-29 23:19:08,81,"[683, 678]"
2023-04-29 23:19:10,82,[684]
2023-04-29 23:19:11,84,"[682, 648]"
2023-04-29 23:19:11,86,"[671, 676]"
2023-04-29 23:19:12,87,[687]
2023-04-29 23:19:14,87,[660]
2023-04-29 23:19:15,88,"[702, 719]"
2023-04-29 23:19:17,88,[744]
2023-04-29 23:19:17,87,[727]
2023-04-29 23:19:18,86,"[755, 758]"
2023-04-29 23:19:19,86,[745]
2023-04-29 23:19:20,85,"[692, 714]"
2023-04-29 23:19:20,85,[704]
2023-04-29 23:19:21,86,"[693, 675]"
2023-04-29 23:19:23,86,[707]
2023-04-29 23:19:23,87,"[717, 728]"
2023-04-29 23:19:25,86,[709]
2023-04-29 23:19:26,86,[758]
2023-04-29 23:19:27,85,"[767, 741]"
2023-04-29 23:19:28,85,[752]
2023-04-29 23:19:29,85,[758]
2023-04-29 23:19:30,84,"[738, 712]"
2023-04-29 23:19:31,84,[739]
2023-04-29 23:19:32,84,"[758, 741]"
2023-04-29 23:19:33,84,[731]
2023-04-29 23:19:34,84,"[743, 725]"
2023-04-29 23:19:35,84,[678]
2023-04-29 23:19:36,85,"[689, 684]"
2023-04-29 23:19:37,85,[682]
2023-04-29 23:19:39,86,[657]
2023-04-29 23:19:39,87,"[697, 727]"
2023-04-29 23:19:40,87,[760]
2023-04-29 23:19:41,87,[724]
2023-04-29 23:19:42,86,"[771, 769]"
2023-04-29 23:19:44,85,[741]
2023-04-29 23:19:44,84,"[738, 754]"
2023-04-29 23:19:56,86,[661]
2023-04-29 23:19:56,88,"[647, 653]"
2023-04-29 23:19:57,89,[659]
2023-04-29 23:19:59,90,"[677, 689]"
2023-04-29 23:19:59,90,[659]
2023-04-29 23:20:00,91,"[653, 670]"
2023-04-29 23:20:02,91,[696]
2023-04-29 23:20:02,91,[733]
2023-04-29 23:20:03,89,"[768, 734]"
2023-04-29 23:20:05,88,[767]
2023-04-29 23:20:05,87,[781]
2023-04-29 23:20:06,85,"[780, 745]"
2023-04-29 23:20:08,85,[750]
2023-04-29 23:20:08,84,"[753, 715]"
2023-04-29 23:20:09,84,[714]
2023-04-29 23:20:11,84,"[728, 710]"
2023-04-29 23:20:11,84,[677]
2023-04-29 23:20:12,85,[640]
2023-04-29 23:20:14,87,"[666, 696]"
2023-04-29 23:20:14,87,[764]
