Timestamp,Heart_rate,RR intervals
2023-05-01 17:51:14,86,"[968, 795]"
2023-05-01 17:51:15,86,[883]
2023-05-01 17:51:16,85,[923]
2023-05-01 17:51:17,85,[887]
2023-05-01 17:51:18,83,[880]
2023-05-01 17:51:19,82,[901]
2023-05-01 17:51:20,80,[867]
2023-05-01 17:51:21,78,"[904, 936]"
2023-05-01 17:51:22,77,[881]
2023-05-01 17:51:23,76,[939]
2023-05-01 17:51:24,75,[947]
2023-05-01 17:51:25,74,[855]
2023-05-01 17:51:26,74,[897]
2023-05-01 17:51:27,73,[938]
2023-05-01 17:51:28,72,"[944, 855]"
2023-05-01 17:51:29,72,[867]
2023-05-01 17:51:34,72,[864]
2023-05-01 17:51:34,72,[815]
2023-05-01 17:51:34,72,[870]
2023-05-01 17:51:34,72,[894]
2023-05-01 17:51:34,72,[814]
2023-05-01 17:51:35,72,"[890, 973]"
2023-05-01 17:51:36,71,[949]
2023-05-01 17:51:37,70,[877]
2023-05-01 17:51:38,70,[910]
2023-05-01 17:51:39,70,"[861, 844]"
2023-05-01 17:51:39,70,[787]
2023-05-01 17:51:40,71,[699]
2023-05-01 17:51:41,74,"[690, 712]"
2023-05-01 17:51:43,75,[765]
2023-05-01 17:51:44,76,[688]
2023-05-01 17:51:45,77,"[794, 845]"
2023-05-01 17:51:46,77,[869]
2023-05-01 17:51:47,77,[811]
2023-05-01 17:51:48,76,[753]
2023-05-01 17:51:49,77,"[860, 893]"
2023-05-01 17:51:50,76,[824]
2023-05-01 17:51:51,75,[746]
2023-05-01 17:51:52,76,"[770, 743]"
2023-05-01 17:51:53,77,[703]
2023-05-01 17:51:54,79,"[687, 705]"
2023-05-01 17:51:55,81,"[692, 656]"
2023-05-01 17:51:56,82,[621]
2023-05-01 17:51:57,83,[629]
2023-05-01 17:51:58,85,[702]
2023-05-01 17:51:59,85,"[832, 842]"
2023-05-01 17:52:00,84,[852]
2023-05-01 17:52:01,82,[820]
2023-05-01 17:52:02,81,[878]
2023-05-01 17:52:03,80,[928]
2023-05-01 17:52:04,79,[963]
2023-05-01 17:52:05,78,[955]
2023-05-01 17:52:06,76,[877]
2023-05-01 17:52:07,75,[893]
2023-05-01 17:52:08,75,[1065]
2023-05-01 17:52:09,74,[1087]
2023-05-01 17:52:10,72,[1029]
2023-05-01 17:52:11,71,[1035]
2023-05-01 17:52:13,69,"[1007, 922]"
2023-05-01 17:52:13,68,[823]
2023-05-01 17:52:14,68,[756]
2023-05-01 17:52:15,69,[875]
2023-05-01 17:52:16,70,[1026]
2023-05-01 17:52:17,69,[942]
2023-05-01 17:52:18,69,"[852, 904]"
2023-05-01 17:52:19,69,[878]
2023-05-01 17:52:20,69,[793]
2023-05-01 17:52:21,69,[813]
2023-05-01 17:52:22,71,"[828, 861]"
2023-05-01 17:52:23,71,[816]
2023-05-01 17:52:24,71,[764]
2023-05-01 17:52:25,72,[853]
2023-05-01 17:52:26,72,[870]
2023-05-01 17:52:27,72,"[917, 857]"
2023-05-01 17:52:28,72,[836]
2023-05-01 17:52:29,72,[855]
2023-05-01 17:52:29,72,[863]
2023-05-01 17:52:30,72,[906]
2023-05-01 17:52:32,71,[977]
2023-05-01 17:52:33,71,[885]
2023-05-01 17:52:34,70,"[928, 914]"
2023-05-01 17:52:35,70,[820]
2023-05-01 17:52:36,70,[812]
2023-05-01 17:52:37,70,[863]
2023-05-01 17:52:38,71,[878]
2023-05-01 17:52:39,71,"[840, 854]"
2023-05-01 17:52:40,71,[893]
2023-05-01 17:52:41,71,[850]
2023-05-01 17:52:42,71,[820]
2023-05-01 17:52:43,71,"[839, 766]"
2023-05-01 17:52:44,72,[769]
2023-05-01 17:52:45,73,[837]
2023-05-01 17:52:46,73,[947]
2023-05-01 17:52:47,73,[954]
2023-05-01 17:52:48,72,[897]
2023-05-01 17:52:49,71,[892]
2023-05-01 17:52:50,71,"[856, 845]"
2023-05-01 17:52:51,71,[852]
2023-05-01 17:52:52,71,[780]
2023-05-01 17:52:53,72,[738]
2023-05-01 17:52:54,74,"[760, 940]"
2023-05-01 17:52:55,74,[894]
2023-05-01 17:52:56,73,[788]
2023-05-01 17:52:57,73,"[802, 780]"
2023-05-01 17:52:58,74,[803]
2023-05-01 17:52:59,74,[845]
2023-05-01 17:53:00,74,[917]
2023-05-01 17:53:01,74,[952]
2023-05-01 17:53:03,73,[871]
