Timestamp,Heart_rate,RR intervals
2023-05-01 21:37:06,100,[585]
2023-05-01 21:37:07,102,"[564, 553]"
2023-05-01 21:37:08,106,"[531, 525]"
2023-05-01 21:37:09,110,"[525, 542]"
2023-05-01 21:37:10,111,"[551, 573]"
2023-05-01 21:37:11,111,[594]
2023-05-01 21:37:12,108,"[630, 644]"
2023-05-01 21:37:13,104,"[604, 583]"
2023-05-01 21:37:14,104,"[575, 567]"
2023-05-01 21:37:15,106,"[555, 558]"
2023-05-01 21:37:16,107,[562]
2023-05-01 21:37:17,108,"[560, 567]"
2023-05-01 21:37:18,108,"[567, 553]"
2023-05-01 21:37:19,109,"[544, 543]"
2023-05-01 21:37:20,111,"[544, 539]"
2023-05-01 21:37:21,112,"[533, 537]"
2023-05-01 21:37:22,113,"[545, 546]"
2023-05-01 21:37:23,113,"[538, 534]"
2023-05-01 21:37:24,113,[536]
2023-05-01 21:37:25,114,"[541, 548]"
2023-05-01 21:37:26,113,"[566, 558]"
2023-05-01 21:37:27,112,"[548, 531]"
2023-05-01 21:37:28,113,"[522, 527]"
2023-05-01 21:37:29,114,"[536, 555]"
2023-05-01 21:37:30,113,"[560, 543]"
2023-05-01 21:37:31,113,"[540, 544]"
2023-05-01 21:37:32,113,[550]
2023-05-01 21:37:33,113,"[558, 555]"
2023-05-01 21:37:34,112,"[558, 563]"
2023-05-01 21:37:35,111,"[558, 552]"
2023-05-01 21:37:37,111,"[548, 543]"
2023-05-01 21:37:37,112,"[545, 544]"
2023-05-01 21:37:38,112,"[541, 531]"
2023-05-01 21:37:40,113,"[528, 525]"
2023-05-01 21:37:40,115,"[524, 514]"
2023-05-01 21:37:42,116,"[515, 522]"
2023-05-01 21:37:42,117,"[522, 519]"
2023-05-01 21:37:44,117,"[520, 525]"
2023-05-01 21:37:44,117,[530]
2023-05-01 21:37:46,117,"[538, 531]"
2023-05-01 21:37:46,116,"[526, 518]"
2023-05-01 21:37:48,117,"[521, 538]"
2023-05-01 21:37:48,116,"[554, 558]"
2023-05-01 21:37:50,114,"[575, 573]"
2023-05-01 21:37:53,111,"[569, 558]"
2023-05-01 21:37:53,111,"[544, 538]"
2023-05-01 21:37:53,112,[540]
2023-05-01 21:37:54,112,"[540, 547]"
2023-05-01 21:37:55,113,"[546, 562]"
2023-05-01 21:37:56,111,"[576, 582]"
2023-05-01 21:37:58,110,[582]
2023-05-01 21:37:58,109,"[577, 583]"
2023-05-01 21:37:59,108,"[582, 581]"
2023-05-01 21:38:00,107,"[574, 564]"
2023-05-01 21:38:01,108,"[558, 553]"
2023-05-01 21:38:02,109,"[543, 536]"
2023-05-01 21:38:03,111,"[528, 525]"
2023-05-01 21:38:04,112,[532]
2023-05-01 21:38:05,113,"[552, 567]"
2023-05-01 21:38:06,112,"[570, 561]"
2023-05-01 21:38:07,111,"[548, 543]"
2023-05-01 21:38:08,112,"[538, 534]"
2023-05-01 21:38:09,113,"[541, 544]"
2023-05-01 21:38:10,113,"[547, 562]"
2023-05-01 21:38:11,112,[583]
2023-05-01 21:38:12,110,"[608, 611]"
2023-05-01 21:38:13,107,"[587, 587]"
2023-05-01 21:38:14,106,"[579, 577]"
2023-05-01 21:38:15,106,[574]
2023-05-01 21:38:17,107,"[570, 578]"
2023-05-01 21:38:17,107,"[579, 572]"
2023-05-01 21:38:18,107,"[568, 566]"
2023-05-01 21:38:19,107,"[562, 561]"
2023-05-01 21:38:20,108,[565]
2023-05-01 21:38:21,108,"[565, 572]"
2023-05-01 21:38:21,108,"[582, 592]"
2023-05-01 21:38:23,107,"[595, 583]"
2023-05-01 21:38:23,106,[574]
2023-05-01 21:38:24,106,"[578, 587]"
2023-05-01 21:38:25,106,"[602, 634]"
2023-05-01 21:38:26,104,[649]
2023-05-01 21:38:27,101,"[659, 659]"
2023-05-01 21:38:29,99,"[630, 609]"
2023-05-01 21:38:29,99,[577]
2023-05-01 21:38:30,101,"[559, 547]"
2023-05-01 21:38:32,105,"[529, 520]"
2023-05-01 21:38:32,110,"[525, 530]"
2023-05-01 21:38:33,112,"[528, 526]"
2023-05-01 21:38:34,114,"[529, 544]"
2023-05-01 21:38:35,113,"[572, 581]"
2023-05-01 21:38:36,112,[584]
2023-05-01 21:38:37,109,"[585, 582]"
2023-05-01 21:38:39,108,"[589, 576]"
2023-05-01 21:38:40,107,"[568, 569]"
2023-05-01 21:38:41,108,"[561, 554]"
2023-05-01 21:38:42,109,"[544, 535]"
2023-05-01 21:38:43,111,"[537, 534]"
2023-05-01 21:38:44,113,"[529, 519]"
2023-05-01 21:38:45,115,"[516, 509]"
2023-05-01 21:38:46,116,[508]
2023-05-01 21:38:47,117,"[525, 564]"
2023-05-01 21:38:48,116,[609]
2023-05-01 21:38:49,108,"[652, 663]"
2023-05-01 21:38:50,103,"[664, 640]"
2023-05-01 21:38:51,100,"[610, 585]"
2023-05-01 21:38:52,102,"[579, 564]"
2023-05-01 21:38:53,103,[549]
2023-05-01 21:38:54,106,"[542, 536]"
2023-05-01 21:38:55,109,"[535, 529]"
2023-05-01 21:38:56,111,"[534, 540]"
2023-05-01 21:38:57,113,"[534, 537]"
2023-05-01 21:38:58,113,"[540, 542]"
2023-05-01 21:38:59,113,"[547, 546]"
2023-05-01 21:39:00,113,"[536, 533]"
2023-05-01 21:39:01,114,"[534, 545]"
2023-05-01 21:39:02,114,[550]
2023-05-01 21:39:03,113,"[561, 561]"
2023-05-01 21:39:04,112,"[563, 560]"
2023-05-01 21:39:06,111,"[548, 538]"
2023-05-01 21:39:06,112,"[533, 528]"
2023-05-01 21:39:07,114,"[524, 523]"
2023-05-01 21:39:08,115,"[526, 539]"
2023-05-01 21:39:09,115,"[550, 561]"
2023-05-01 21:39:10,114,[559]
2023-05-01 21:39:10,112,"[560, 564]"
2023-05-01 21:39:11,111,"[581, 594]"
2023-05-01 21:39:12,108,"[593, 577]"
2023-05-01 21:39:14,108,"[568, 558]"
2023-05-01 21:39:14,108,[556]
2023-05-01 21:39:15,109,"[564, 576]"
2023-05-01 21:39:16,108,"[587, 577]"
2023-05-01 21:39:17,108,"[562, 558]"
2023-05-01 21:39:18,108,[568]
2023-05-01 21:39:19,108,"[581, 576]"
2023-05-01 21:39:20,108,"[560, 550]"
2023-05-01 21:39:21,109,"[549, 543]"
2023-05-01 21:39:22,110,"[540, 543]"
2023-05-01 21:39:23,111,"[553, 560]"
2023-05-01 21:39:24,111,"[567, 565]"
2023-05-01 21:39:25,110,[575]
2023-05-01 21:39:26,109,"[573, 570]"
2023-05-01 21:39:27,109,"[564, 555]"
2023-05-01 21:39:29,109,"[549, 544]"
2023-05-01 21:39:30,111,"[545, 550]"
2023-05-01 21:39:31,111,"[555, 556]"
2023-05-01 21:39:32,111,[545]
2023-05-01 21:39:33,111,"[557, 573]"
2023-05-01 21:39:34,110,"[575, 565]"
2023-05-01 21:39:35,109,"[560, 556]"
2023-05-01 21:39:36,110,"[548, 531]"
2023-05-01 21:39:37,112,"[527, 518]"
2023-05-01 21:39:38,114,"[514, 517]"
2023-05-01 21:39:39,116,"[528, 551]"
2023-05-01 21:39:41,115,[566]
2023-05-01 21:39:41,113,"[569, 584]"
2023-05-01 21:39:42,110,"[613, 644]"
2023-05-01 21:39:43,108,[639]
2023-05-01 21:39:44,104,"[626, 614]"
2023-05-01 21:39:45,102,"[597, 582]"
2023-05-01 21:39:46,104,"[564, 550]"
2023-05-01 21:39:47,106,"[547, 546]"
2023-05-01 21:39:48,108,"[555, 552]"
2023-05-01 21:39:49,109,[541]
2023-05-01 21:39:50,111,"[530, 525]"
2023-05-01 21:39:51,113,"[523, 521]"
2023-05-01 21:39:52,115,"[528, 535]"
2023-05-01 21:39:53,114,"[555, 577]"
2023-05-01 21:39:54,112,"[589, 571]"
2023-05-01 21:39:56,111,[571]
2023-05-01 21:39:56,109,"[570, 565]"
2023-05-01 21:39:57,109,"[560, 549]"
2023-05-01 21:39:58,110,"[544, 543]"
2023-05-01 21:39:59,111,"[548, 556]"
2023-05-01 21:40:00,111,"[557, 559]"
2023-05-01 21:40:00,111,[557]
2023-05-01 21:40:01,111,"[559, 572]"
2023-05-01 21:40:02,109,"[592, 593]"
2023-05-01 21:40:03,107,"[595, 604]"
2023-05-01 21:40:04,106,[613]
2023-05-01 21:40:05,104,"[614, 602]"
2023-05-01 21:40:07,103,"[599, 581]"
2023-05-01 21:40:07,104,"[563, 550]"
2023-05-01 21:40:08,105,[548]
2023-05-01 21:40:09,108,"[553, 568]"
2023-05-01 21:40:10,108,"[599, 597]"
2023-05-01 21:40:11,106,"[589, 599]"
2023-05-01 21:40:12,105,"[606, 587]"
2023-05-01 21:40:13,104,[566]
2023-05-01 21:40:14,106,"[556, 559]"
2023-05-01 21:40:15,107,"[564, 575]"
2023-05-01 21:40:16,107,"[576, 570]"
2023-05-01 21:40:17,108,"[561, 544]"
2023-05-01 21:40:19,110,"[532, 529]"
2023-05-01 21:40:20,112,"[529, 532]"
2023-05-01 21:40:21,113,"[526, 523]"
2023-05-01 21:40:22,114,[525]
2023-05-01 21:40:23,115,"[525, 529]"
2023-05-01 21:40:24,116,"[533, 533]"
2023-05-01 21:40:25,115,"[530, 531]"
2023-05-01 21:40:26,115,"[543, 560]"
2023-05-01 21:40:27,115,[590]
2023-05-01 21:40:28,111,"[618, 611]"
2023-05-01 21:40:29,107,"[609, 619]"
2023-05-01 21:40:30,104,"[614, 609]"
2023-05-01 21:40:32,104,[587]
2023-05-01 21:40:32,104,"[588, 589]"
2023-05-01 21:40:33,104,"[576, 582]"
2023-05-01 21:40:34,105,"[572, 561]"
2023-05-01 21:40:35,107,"[550, 536]"
2023-05-01 21:40:36,109,"[532, 533]"
2023-05-01 21:40:37,112,"[530, 529]"
2023-05-01 21:40:38,112,[531]
2023-05-01 21:40:39,113,"[547, 559]"
2023-05-01 21:40:40,112,"[585, 596]"
2023-05-01 21:40:41,109,"[587, 577]"
2023-05-01 21:40:42,108,[575]
2023-05-01 21:40:43,108,"[570, 568]"
2023-05-01 21:40:44,108,"[561, 559]"
2023-05-01 21:40:46,109,"[564, 568]"
2023-05-01 21:40:46,108,"[579, 577]"
2023-05-01 21:40:47,108,[570]
2023-05-01 21:40:48,108,"[577, 587]"
2023-05-01 21:40:49,107,"[597, 591]"
2023-05-01 21:40:49,105,"[595, 591]"
2023-05-01 21:40:50,105,[595]
2023-05-01 21:40:51,105,"[586, 583]"
2023-05-01 21:40:52,105,"[563, 552]"
2023-05-01 21:40:53,107,"[542, 535]"
2023-05-01 21:40:54,110,"[531, 537]"
2023-05-01 21:40:55,112,"[544, 537]"
2023-05-01 21:40:56,112,"[536, 546]"
2023-05-01 21:40:57,112,"[559, 556]"
2023-05-01 21:40:58,112,[549]
2023-05-01 21:40:59,112,"[549, 555]"
2023-05-01 21:41:00,111,"[570, 560]"
2023-05-01 21:41:01,111,"[560, 557]"
2023-05-01 21:41:03,111,"[552, 568]"
2023-05-01 21:41:03,110,[588]
2023-05-01 21:41:04,108,"[606, 595]"
2023-05-01 21:41:05,106,"[583, 571]"
2023-05-01 21:41:07,107,"[556, 536]"
2023-05-01 21:41:08,110,"[529, 523]"
2023-05-01 21:41:09,112,"[518, 514]"
2023-05-01 21:41:10,115,"[510, 509]"
2023-05-01 21:41:11,117,"[521, 534]"
2023-05-01 21:41:12,116,"[544, 524]"
2023-05-01 21:41:13,116,"[520, 526]"
2023-05-01 21:41:14,117,[552]
2023-05-01 21:41:15,114,"[591, 639]"
2023-05-01 21:41:16,109,[664]
2023-05-01 21:41:17,104,"[651, 631]"
2023-05-01 21:41:18,101,"[616, 593]"
2023-05-01 21:41:19,102,"[589, 558]"
2023-05-01 21:41:20,105,"[540, 533]"
2023-05-01 21:41:21,107,[532]
2023-05-01 21:41:22,110,"[544, 554]"
2023-05-01 21:41:23,110,"[557, 558]"
2023-05-01 21:41:24,110,"[576, 592]"
2023-05-01 21:41:25,109,[601]
2023-05-01 21:41:26,106,"[619, 603]"
2023-05-01 21:41:27,105,"[589, 591]"
2023-05-01 21:41:28,105,"[583, 586]"
2023-05-01 21:41:29,105,"[581, 568]"
2023-05-01 21:41:30,105,[560]
2023-05-01 21:41:31,107,"[558, 563]"
2023-05-01 21:41:32,108,"[572, 582]"
2023-05-01 21:41:33,107,"[583, 571]"
2023-05-01 21:41:35,107,"[558, 541]"
2023-05-01 21:41:35,110,"[531, 527]"
2023-05-01 21:41:36,111,[531]
2023-05-01 21:41:37,112,"[544, 573]"
2023-05-01 21:41:38,111,"[585, 585]"
2023-05-01 21:41:38,109,"[573, 555]"
2023-05-01 21:41:39,109,"[548, 540]"
2023-05-01 21:41:40,111,"[535, 535]"
2023-05-01 21:41:41,113,"[524, 524]"
2023-05-01 21:41:42,114,[521]
2023-05-01 21:41:43,115,"[539, 576]"
2023-05-01 21:41:45,111,"[639, 615]"
2023-05-01 21:41:45,109,[606]
2023-05-01 21:41:46,106,"[606, 632]"
2023-05-01 21:41:47,103,"[663, 660]"
2023-05-01 21:41:48,101,[621]
2023-05-01 21:41:49,100,"[613, 600]"
2023-05-01 21:41:50,101,"[600, 597]"
2023-05-01 21:41:51,102,"[581, 567]"
2023-05-01 21:41:52,103,[562]
2023-05-01 21:41:53,105,"[560, 561]"
2023-05-01 21:41:54,107,"[569, 561]"
2023-05-01 21:41:55,108,"[561, 560]"
2023-05-01 21:41:56,108,"[563, 562]"
2023-05-01 21:41:58,108,[559]
2023-05-01 21:41:59,109,"[561, 561]"
2023-05-01 21:42:00,109,"[558, 557]"
2023-05-01 21:42:01,110,"[548, 539]"
2023-05-01 21:42:02,111,"[527, 519]"
2023-05-01 21:42:03,114,"[512, 511]"
2023-05-01 21:42:04,116,"[515, 518]"
2023-05-01 21:42:05,117,"[523, 512]"
2023-05-01 21:42:06,118,"[500, 504]"
2023-05-01 21:42:07,119,"[517, 560]"
2023-05-01 21:42:08,116,"[596, 599]"
2023-05-01 21:42:09,113,[581]
2023-05-01 21:42:10,111,"[560, 551]"
2023-05-01 21:42:11,111,"[537, 542]"
2023-05-01 21:42:12,112,"[545, 554]"
2023-05-01 21:42:13,112,"[560, 564]"
2023-05-01 21:42:14,111,"[570, 568]"
2023-05-01 21:42:24,110,[589]
2023-05-01 21:42:24,108,"[587, 567]"
2023-05-01 21:42:24,108,"[565, 561]"
2023-05-01 21:42:24,109,"[562, 568]"
2023-05-01 21:42:24,109,"[565, 565]"
2023-05-01 21:42:24,109,[580]
2023-05-01 21:42:24,108,"[581, 586]"
2023-05-01 21:42:24,107,"[578, 582]"
2023-05-01 21:42:24,107,[597]
2023-05-01 21:42:25,105,"[618, 619]"
2023-05-01 21:42:25,103,"[633, 621]"
2023-05-01 21:42:27,102,"[606, 582]"
2023-05-01 21:42:27,102,[575]
2023-05-01 21:42:28,104,"[570, 560]"
2023-05-01 21:42:28,106,"[550, 548]"
2023-05-01 21:42:29,108,"[535, 528]"
2023-05-01 21:42:30,111,"[518, 514]"
2023-05-01 21:42:31,114,"[517, 523]"
2023-05-01 21:42:32,115,"[522, 529]"
2023-05-01 21:42:33,116,"[538, 546]"
2023-05-01 21:42:34,115,"[554, 567]"
2023-05-01 21:42:36,114,[583]
2023-05-01 21:42:37,111,"[565, 559]"
2023-05-01 21:42:37,110,"[569, 581]"
2023-05-01 21:42:39,110,[625]
2023-05-01 21:42:40,106,"[623, 616]"
2023-05-01 21:42:40,104,"[593, 581]"
2023-05-01 21:42:41,105,"[579, 569]"
2023-05-01 21:42:43,105,"[582, 580]"
2023-05-01 21:42:43,106,[573]
