Timestamp,Heart_rate,RR intervals
2023-05-01 22:26:36,88,"[695, 741]"
2023-05-01 22:26:37,88,[754]
2023-05-01 22:26:38,87,"[718, 734]"
2023-05-01 22:26:39,86,[707]
2023-05-01 22:26:40,87,"[679, 625]"
2023-05-01 22:26:41,89,"[602, 592]"
2023-05-01 22:26:42,91,[573]
2023-05-01 22:26:43,96,"[566, 567]"
2023-05-01 22:26:44,100,"[576, 567]"
2023-05-01 22:26:45,103,"[561, 565]"
2023-05-01 22:26:46,105,"[579, 579]"
2023-05-01 22:26:47,105,[580]
2023-05-01 22:26:48,105,"[580, 578]"
2023-05-01 22:26:49,106,"[571, 577]"
2023-05-01 22:26:50,106,"[571, 566]"
2023-05-01 22:26:51,107,"[563, 557]"
2023-05-01 22:26:52,108,[567]
2023-05-01 22:26:53,107,"[626, 630]"
2023-05-01 22:26:54,105,[655]
2023-05-01 22:26:55,103,[702]
2023-05-01 22:26:56,95,"[784, 753]"
2023-05-01 22:26:57,92,"[669, 644]"
2023-05-01 22:26:58,92,[645]
2023-05-01 22:26:59,93,"[671, 646]"
2023-05-01 22:27:00,93,[624]
2023-05-01 22:27:01,93,[636]
2023-05-01 22:27:02,94,"[685, 777]"
2023-05-01 22:27:03,92,[754]
2023-05-01 22:27:04,89,"[708, 734]"
2023-05-01 22:27:06,89,[733]
2023-05-01 22:27:07,88,"[722, 673]"
2023-05-01 22:27:07,88,[654]
2023-05-01 22:27:09,89,"[678, 753]"
2023-05-01 22:27:09,88,[759]
2023-05-01 22:27:10,87,"[728, 657]"
2023-05-01 22:27:11,87,[644]
2023-05-01 22:27:12,89,"[644, 685]"
2023-05-01 22:27:13,90,[702]
2023-05-01 22:27:14,89,"[724, 718]"
2023-05-01 22:27:15,88,[697]
2023-05-01 22:27:17,88,[709]
2023-05-01 22:27:17,88,[800]
2023-05-01 22:27:19,87,[843]
2023-05-01 22:27:19,86,[891]
2023-05-01 22:27:20,82,"[885, 878]"
2023-05-01 22:27:22,81,[836]
2023-05-01 22:27:22,79,"[821, 776]"
2023-05-01 22:27:23,79,[726]
2023-05-01 22:27:24,79,[687]
2023-05-01 22:27:25,81,"[671, 743]"
2023-05-01 22:27:26,82,[778]
2023-05-01 22:27:27,82,[684]
2023-05-01 22:27:28,82,[710]
2023-05-01 22:27:29,82,"[832, 887]"
2023-05-01 22:27:30,81,[891]
2023-05-01 22:27:32,80,[877]
2023-05-01 22:27:32,79,[869]
2023-05-01 22:27:33,77,"[839, 823]"
2023-05-01 22:27:34,77,[789]
2023-05-01 22:27:35,77,"[744, 724]"
2023-05-01 22:27:36,78,[723]
2023-05-01 22:27:37,79,[745]
2023-05-01 22:27:38,79,"[769, 712]"
2023-05-01 22:27:39,80,[680]
2023-05-01 22:27:40,81,[707]
2023-05-01 22:27:41,81,[782]
2023-05-01 22:27:42,81,"[813, 850]"
