Timestamp,Heart_rate,RR intervals
2023-05-01 17:06:43,111,[570]
2023-05-01 17:06:44,110,"[569, 567]"
2023-05-01 17:06:45,109,"[567, 566]"
2023-05-01 17:06:46,109,"[562, 567]"
2023-05-01 17:06:47,109,[587]
2023-05-01 17:06:48,107,"[640, 695]"
2023-05-01 17:06:49,101,[699]
2023-05-01 17:06:50,97,"[711, 677]"
2023-05-01 17:06:51,95,[653]
2023-05-01 17:06:52,95,"[644, 639]"
2023-05-01 17:06:53,95,"[612, 605]"
2023-05-01 17:06:54,97,"[602, 584]"
2023-05-01 17:06:55,99,[576]
2023-05-01 17:06:56,101,"[573, 572]"
2023-05-01 17:06:57,104,"[563, 559]"
2023-05-01 17:06:58,106,"[565, 556]"
2023-05-01 17:06:59,107,"[551, 558]"
2023-05-01 17:07:00,109,"[554, 550]"
2023-05-01 17:07:01,110,"[543, 551]"
2023-05-01 17:07:02,110,[548]
2023-05-01 17:07:03,111,"[553, 560]"
2023-05-01 17:07:04,111,"[557, 567]"
2023-05-01 17:07:05,110,"[570, 563]"
2023-05-01 17:07:06,110,"[561, 571]"
2023-05-01 17:07:07,109,[572]
2023-05-01 17:07:08,109,"[568, 573]"
2023-05-01 17:07:09,108,"[592, 598]"
2023-05-01 17:07:10,107,[638]
2023-05-01 17:07:11,104,"[647, 681]"
2023-05-01 17:07:12,101,[696]
2023-05-01 17:07:13,97,"[706, 685]"
2023-05-01 17:07:14,95,[658]
2023-05-01 17:07:16,94,"[666, 680]"
2023-05-01 17:07:17,94,[699]
2023-05-01 17:07:18,93,[685]
2023-05-01 17:07:18,92,"[687, 707]"
2023-05-01 17:07:19,91,[726]
2023-05-01 17:07:21,90,"[698, 685]"
2023-05-01 17:07:21,90,"[668, 653]"
2023-05-01 17:07:22,90,[635]
2023-05-01 17:07:24,92,"[605, 605]"
2023-05-01 17:07:24,95,"[604, 594]"
2023-05-01 17:07:26,98,"[585, 579]"
2023-05-01 17:07:26,99,[583]
2023-05-01 17:07:27,102,"[584, 580]"
2023-05-01 17:07:28,103,"[581, 589]"
2023-05-01 17:07:29,103,"[598, 597]"
2023-05-01 17:07:30,103,[605]
2023-05-01 17:07:31,103,"[601, 580]"
2023-05-01 17:07:33,103,"[592, 594]"
2023-05-01 17:07:33,103,
2023-05-01 17:07:34,103,"[605, 584]"
2023-05-01 17:07:35,104,"[1177, 601]"
2023-05-01 17:07:37,103,"[602, 618]"
2023-05-01 17:07:37,103,[609]
2023-05-01 17:07:38,102,"[609, 615]"
2023-05-01 17:07:39,101,"[609, 606]"
2023-05-01 17:07:40,101,[600]
2023-05-01 17:07:41,102,"[597, 587]"
2023-05-01 17:07:42,103,"[584, 586]"
2023-05-01 17:07:43,103,[582]
2023-05-01 17:07:44,104,"[600, 612]"
2023-05-01 17:07:45,103,[643]
2023-05-01 17:07:46,100,"[685, 744]"
2023-05-01 17:07:48,97,[733]
2023-05-01 17:07:49,93,"[698, 679]"
2023-05-01 17:07:50,93,"[647, 651]"
2023-05-01 17:07:50,93,[634]
2023-05-01 17:07:51,94,"[623, 644]"
2023-05-01 17:07:52,95,"[628, 615]"
2023-05-01 17:07:53,96,[610]
2023-05-01 17:07:54,97,"[607, 617]"
2023-05-01 17:07:55,98,[613]
2023-05-01 17:07:56,99,"[611, 620]"
2023-05-01 17:07:57,99,"[624, 614]"
2023-05-01 17:07:58,99,[626]
2023-05-01 17:07:59,99,"[624, 634]"
2023-05-01 17:08:00,98,"[618, 604]"
2023-05-01 17:08:01,99,[598]
2023-05-01 17:08:02,100,"[599, 602]"
2023-05-01 17:08:03,101,"[613, 607]"
2023-05-01 17:08:04,101,[639]
2023-05-01 17:08:05,99,"[653, 680]"
2023-05-01 17:08:06,98,[686]
2023-05-01 17:08:07,96,"[655, 669]"
2023-05-01 17:08:08,95,"[656, 641]"
2023-05-01 17:08:09,95,[636]
2023-05-01 17:08:11,95,"[631, 623]"
2023-05-01 17:08:11,96,[624]
2023-05-01 17:08:13,97,"[621, 609]"
2023-05-01 17:08:13,98,"[619, 615]"
2023-05-01 17:08:14,98,[613]
2023-05-01 17:08:15,99,"[628, 644]"
2023-05-01 17:08:16,98,[671]
2023-05-01 17:08:17,96,"[664, 680]"
2023-05-01 17:08:18,95,[680]
2023-05-01 17:08:19,94,"[688, 653]"
2023-05-01 17:08:20,93,"[667, 653]"
2023-05-01 17:08:21,93,[661]
2023-05-01 17:08:22,93,"[660, 648]"
2023-05-01 17:08:23,93,[646]
2023-05-01 17:08:24,94,"[639, 633]"
2023-05-01 17:08:25,95,"[621, 623]"
2023-05-01 17:08:26,96,[641]
2023-05-01 17:08:27,96,[669]
2023-05-01 17:08:28,95,"[705, 733]"
2023-05-01 17:08:29,93,[744]
2023-05-01 17:08:30,90,"[719, 733]"
2023-05-01 17:08:31,89,[743]
2023-05-01 17:08:32,88,"[709, 704]"
2023-05-01 17:08:33,88,[682]
2023-05-01 17:08:34,88,"[654, 636]"
2023-05-01 17:08:36,91,"[620, 624]"
2023-05-01 17:08:36,92,[622]
2023-05-01 17:08:37,94,"[622, 630]"
2023-05-01 17:08:38,95,[616]
2023-05-01 17:08:40,96,"[630, 673]"
2023-05-01 17:08:40,96,[705]
2023-05-01 17:08:41,95,[723]
2023-05-01 17:08:42,91,"[751, 762]"
2023-05-01 17:08:43,90,[750]
2023-05-01 17:08:44,88,"[709, 717]"
2023-05-01 17:08:45,88,[704]
2023-05-01 17:08:47,88,"[693, 697]"
2023-05-01 17:08:47,88,[704]
2023-05-01 17:08:48,88,"[701, 682]"
2023-05-01 17:08:49,88,[694]
2023-05-01 17:08:50,88,"[695, 703]"
2023-05-01 17:08:51,88,[700]
2023-05-01 17:08:52,88,"[699, 691]"
2023-05-01 17:08:53,88,[677]
2023-05-01 17:08:55,89,"[654, 648]"
2023-05-01 17:08:55,90,[631]
2023-05-01 17:08:56,92,"[613, 633]"
2023-05-01 17:08:57,93,[629]
2023-05-01 17:08:58,94,"[669, 688]"
2023-05-01 17:08:59,93,[723]
2023-05-01 17:09:00,91,"[749, 721]"
2023-05-01 17:09:02,90,[720]
2023-05-01 17:09:03,89,[737]
2023-05-01 17:09:03,88,"[723, 740]"
2023-05-01 17:09:04,87,[709]
2023-05-01 17:09:05,87,"[718, 716]"
2023-05-01 17:09:06,87,[701]
2023-05-01 17:09:07,87,"[713, 688]"
2023-05-01 17:09:08,87,[709]
2023-05-01 17:09:09,87,[726]
2023-05-01 17:09:10,86,"[732, 722]"
2023-05-01 17:09:11,86,[731]
2023-05-01 17:09:12,86,"[738, 724]"
2023-05-01 17:09:13,85,[717]
2023-05-01 17:09:14,86,"[674, 685]"
2023-05-01 17:09:15,86,[652]
2023-05-01 17:09:16,88,"[662, 656]"
2023-05-01 17:09:17,89,[658]
2023-05-01 17:09:18,90,"[680, 668]"
2023-05-01 17:09:19,90,[681]
2023-05-01 17:09:20,90,"[691, 689]"
2023-05-01 17:09:22,90,[699]
2023-05-01 17:09:22,89,"[697, 683]"
2023-05-01 17:09:24,89,[688]
2023-05-01 17:09:24,90,"[662, 664]"
2023-05-01 17:09:26,91,"[659, 652]"
2023-05-01 17:09:26,91,[643]
2023-05-01 17:09:28,92,"[649, 664]"
2023-05-01 17:09:28,92,[671]
2023-05-01 17:09:29,92,"[666, 682]"
2023-05-01 17:09:30,92,[675]
2023-05-01 17:09:31,92,"[659, 637]"
2023-05-01 17:09:32,93,"[632, 622]"
2023-05-01 17:09:33,94,[617]
2023-05-01 17:09:34,96,"[615, 614]"
2023-05-01 17:09:35,97,"[617, 612]"
2023-05-01 17:09:36,98,[610]
2023-05-01 17:09:37,99,"[606, 619]"
2023-05-01 17:09:38,99,"[610, 607]"
2023-05-01 17:09:39,100,"[595, 594]"
2023-05-01 17:09:40,101,[596]
2023-05-01 17:09:41,102,"[589, 583]"
2023-05-01 17:09:43,103,"[585, 594]"
2023-05-01 17:09:43,103,[593]
2023-05-01 17:09:44,103,"[608, 595]"
2023-05-01 17:09:45,103,"[585, 586]"
2023-05-01 17:09:46,104,"[585, 592]"
2023-05-01 17:09:47,104,[596]
2023-05-01 17:09:48,104,"[592, 600]"
2023-05-01 17:09:49,104,[625]
2023-05-01 17:09:51,102,"[645, 680]"
2023-05-01 17:09:51,100,[726]
2023-05-01 17:09:52,97,[753]
2023-05-01 17:09:53,92,"[755, 771]"
2023-05-01 17:09:54,91,[751]
2023-05-01 17:09:56,88,"[733, 712]"
2023-05-01 17:09:57,88,[679]
2023-05-01 17:09:57,88,"[667, 657]"
2023-05-01 17:09:59,90,"[637, 635]"
2023-05-01 17:09:59,91,[629]
2023-05-01 17:10:00,93,"[634, 646]"
2023-05-01 17:10:01,93,[685]
2023-05-01 17:10:02,93,[728]
2023-05-01 17:10:03,91,"[743, 747]"
2023-05-01 17:10:05,89,[763]
2023-05-01 17:10:05,87,"[729, 735]"
2023-05-01 17:10:06,87,[720]
2023-05-01 17:10:07,87,"[698, 677]"
2023-05-01 17:10:08,87,[664]
2023-05-01 17:10:09,88,"[645, 641]"
2023-05-01 17:10:10,89,[641]
2023-05-01 17:10:11,91,"[639, 643]"
2023-05-01 17:10:12,93,"[642, 652]"
2023-05-01 17:10:14,93,[638]
2023-05-01 17:10:14,94,"[634, 641]"
2023-05-01 17:10:15,94,[654]
2023-05-01 17:10:16,94,"[659, 663]"
2023-05-01 17:10:18,94,[668]
2023-05-01 17:10:19,94,"[656, 662]"
2023-05-01 17:10:19,93,"[667, 657]"
2023-05-01 17:10:21,93,[655]
2023-05-01 17:10:21,93,"[662, 653]"
2023-05-01 17:10:22,93,[654]
2023-05-01 17:10:24,94,"[656, 662]"
2023-05-01 17:10:24,94,"[649, 635]"
2023-05-01 17:10:25,94,[633]
2023-05-01 17:10:26,95,"[632, 618]"
2023-05-01 17:10:27,95,[618]
2023-05-01 17:10:28,97,"[622, 633]"
2023-05-01 17:10:29,97,[640]
2023-05-01 17:10:30,97,"[648, 690]"
2023-05-01 17:10:31,96,[677]
2023-05-01 17:10:32,94,"[676, 695]"
2023-05-01 17:10:33,93,"[671, 670]"
2023-05-01 17:10:35,93,[665]
2023-05-01 17:10:35,92,"[662, 685]"
2023-05-01 17:10:37,92,[687]
2023-05-01 17:10:37,92,[685]
2023-05-01 17:10:40,91,"[682, 694]"
2023-05-01 17:10:41,91,[702]
2023-05-01 17:10:41,90,"[682, 710]"
2023-05-01 17:10:42,90,[703]
2023-05-01 17:10:42,89,"[718, 747]"
2023-05-01 17:10:43,88,[745]
2023-05-01 17:10:44,87,"[734, 714]"
2023-05-01 17:10:46,87,[702]
2023-05-01 17:10:46,87,"[683, 660]"
2023-05-01 17:10:47,88,[664]
2023-05-01 17:10:48,89,"[647, 657]"
2023-05-01 17:10:49,90,[663]
2023-05-01 17:10:50,91,"[672, 664]"
2023-05-01 17:10:51,91,[680]
2023-05-01 17:10:53,91,"[700, 699]"
2023-05-01 17:10:53,90,[681]
2023-05-01 17:10:54,90,"[663, 665]"
2023-05-01 17:10:55,91,[675]
2023-05-01 17:10:56,91,"[657, 665]"
2023-05-01 17:10:57,91,[656]
2023-05-01 17:10:58,92,"[655, 658]"
2023-05-01 17:10:59,92,[666]
2023-05-01 17:11:00,92,"[673, 693]"
2023-05-01 17:11:01,92,[698]
2023-05-01 17:11:02,91,"[724, 732]"
2023-05-01 17:11:04,90,[719]
2023-05-01 17:11:04,88,"[711, 711]"
2023-05-01 17:11:06,88,[702]
2023-05-01 17:11:06,88,"[692, 688]"
2023-05-01 17:11:07,88,[674]
2023-05-01 17:11:08,89,"[675, 660]"
2023-05-01 17:11:09,89,[644]
2023-05-01 17:11:10,91,"[669, 646]"
2023-05-01 17:11:11,92,"[632, 609]"
2023-05-01 17:11:12,93,[624]
2023-05-01 17:11:13,95,"[609, 621]"
2023-05-01 17:11:14,97,"[615, 616]"
2023-05-01 17:11:16,97,[617]
2023-05-01 17:11:16,98,"[627, 643]"
2023-05-01 17:11:17,98,[636]
2023-05-01 17:11:18,97,"[651, 643]"
2023-05-01 17:11:19,97,"[631, 635]"
2023-05-01 17:11:20,97,[631]
2023-05-01 17:11:21,97,"[626, 624]"
2023-05-01 17:11:22,97,"[623, 616]"
2023-05-01 17:11:23,98,[606]
2023-05-01 17:11:24,99,"[601, 600]"
2023-05-01 17:11:26,100,"[606, 594]"
2023-05-01 17:11:26,101,"[588, 582]"
2023-05-01 17:11:27,102,[583]
2023-05-01 17:11:30,103,"[577, 585]"
2023-05-01 17:11:30,104,"[586, 595]"
2023-05-01 17:11:30,104,"[598, 600]"
2023-05-01 17:11:31,104,[608]
2023-05-01 17:11:32,103,"[612, 621]"
2023-05-01 17:11:33,102,[637]
2023-05-01 17:11:34,100,"[626, 630, 644]"
2023-05-01 17:11:35,99,[614]
2023-05-01 17:11:36,99,[624]
2023-05-01 17:11:38,99,"[610, 605]"
2023-05-01 17:11:38,100,"[609, 598]"
2023-05-01 17:11:39,101,"[597, 585]"
2023-05-01 17:11:40,101,[591]
2023-05-01 17:11:41,102,"[590, 600]"
2023-05-01 17:11:42,103,"[600, 598]"
2023-05-01 17:11:43,103,[598]
2023-05-01 17:11:44,103,"[603, 603]"
2023-05-01 17:11:45,102,"[610, 606]"
2023-05-01 17:11:46,102,"[598, 593]"
2023-05-01 17:11:47,102,[590]
2023-05-01 17:11:48,103,"[582, 578]"
2023-05-01 17:11:49,104,"[579, 572]"
2023-05-01 17:11:50,105,"[561, 565]"
2023-05-01 17:11:52,107,"[564, 571]"
2023-05-01 17:11:52,107,[566]
2023-05-01 17:11:54,107,"[571, 567]"
2023-05-01 17:11:54,108,"[562, 573]"
2023-05-01 17:11:55,108,"[566, 563]"
2023-05-01 17:11:56,108,"[568, 565]"
2023-05-01 17:11:57,108,[575]
2023-05-01 17:11:59,108,"[563, 563]"
2023-05-01 17:11:59,109,"[560, 550]"
2023-05-01 17:12:00,110,"[542, 536]"
2023-05-01 17:12:01,111,"[543, 535]"
2023-05-01 17:12:02,112,"[534, 539]"
2023-05-01 17:12:03,113,"[536, 533]"
