Timestamp,Heart_rate,RR intervals
2023-04-30 23:17:00,118,"[517, 510]"
2023-04-30 23:17:01,119,"[509, 511]"
2023-04-30 23:17:02,119,"[515, 517]"
2023-04-30 23:17:03,119,"[521, 508]"
2023-04-30 23:17:04,119,"[520, 510]"
2023-04-30 23:17:05,120,"[508, 506]"
2023-04-30 23:17:06,120,"[497, 497]"
2023-04-30 23:17:07,122,"[493, 498]"
2023-04-30 23:17:08,122,"[512, 535]"
2023-04-30 23:17:09,121,[540]
2023-04-30 23:17:10,119,"[541, 561]"
2023-04-30 23:17:11,116,"[525, 577]"
2023-04-30 23:17:12,114,"[539, 577]"
2023-04-30 23:17:13,113,"[558, 553]"
2023-04-30 23:17:14,112,"[546, 528]"
2023-04-30 23:17:15,114,"[505, 516]"
2023-04-30 23:17:16,116,"[510, 511]"
2023-04-30 23:17:17,117,"[523, 545]"
2023-04-30 23:17:18,117,[555]
2023-04-30 23:17:19,115,"[558, 550]"
2023-04-30 23:17:20,113,"[554, 568]"
2023-04-30 23:17:21,112,"[557, 552]"
2023-04-30 23:17:22,112,"[549, 536]"
2023-04-30 23:17:23,112,"[564, 570]"
2023-04-30 23:17:24,111,[571]
2023-04-30 23:17:25,110,"[574, 612]"
2023-04-30 23:17:26,107,"[605, 568]"
2023-04-30 23:17:27,107,"[570, 558]"
2023-04-30 23:17:28,108,"[559, 577]"
2023-04-30 23:17:29,108,[570]
2023-04-30 23:17:30,108,"[572, 563]"
2023-04-30 23:17:31,108,"[557, 556]"
2023-04-30 23:17:32,109,[577]
2023-04-30 23:17:33,108,"[602, 618]"
2023-04-30 23:17:34,106,[699]
2023-04-30 23:17:35,100,"[716, 679]"
2023-04-30 23:17:36,98,[637]
2023-04-30 23:17:37,96,"[698, 646]"
2023-04-30 23:17:38,95,"[683, 630]"
2023-04-30 23:17:39,95,[644]
2023-04-30 23:17:40,96,"[611, 604]"
2023-04-30 23:17:41,98,"[596, 637]"
2023-04-30 23:17:42,98,[631]
2023-04-30 23:17:43,98,"[593, 592]"
2023-04-30 23:17:44,100,"[625, 610]"
2023-04-30 23:17:45,100,"[576, 601]"
2023-04-30 23:17:46,101,[570]
2023-04-30 23:17:47,103,"[611, 567]"
2023-04-30 23:17:48,104,"[590, 568]"
2023-04-30 23:17:50,105,"[562, 551]"
2023-04-30 23:17:50,108,"[529, 548]"
2023-04-30 23:17:51,110,"[548, 562]"
2023-04-30 23:17:52,110,[563]
2023-04-30 23:17:53,109,"[604, 602]"
2023-04-30 23:17:54,106,"[606, 626]"
2023-04-30 23:17:55,105,[634]
2023-04-30 23:17:56,103,"[591, 656]"
2023-04-30 23:17:57,101,"[592, 646]"
2023-04-30 23:17:58,101,[576]
2023-04-30 23:17:59,101,"[619, 605]"
2023-04-30 23:18:00,101,"[600, 588]"
2023-04-30 23:18:01,102,"[576, 581]"
2023-04-30 23:18:02,103,[590]
2023-04-30 23:18:03,104,"[577, 583]"
2023-04-30 23:18:05,105,"[579, 594]"
2023-04-30 23:18:05,105,[582]
2023-04-30 23:18:07,105,"[600, 598]"
2023-04-30 23:18:07,104,"[612, 616]"
2023-04-30 23:18:09,103,[632]
2023-04-30 23:18:09,101,"[611, 608]"
2023-04-30 23:18:10,101,"[611, 619]"
2023-04-30 23:18:11,101,"[596, 590]"
2023-04-30 23:18:12,102,[589]
2023-04-30 23:18:13,103,"[589, 593]"
2023-04-30 23:18:14,103,"[598, 609]"
2023-04-30 23:18:15,103,[597]
2023-04-30 23:18:16,103,"[589, 588]"
2023-04-30 23:18:17,103,"[582, 572]"
2023-04-30 23:18:18,105,"[580, 586]"
2023-04-30 23:18:19,105,[593]
2023-04-30 23:18:20,105,"[582, 582]"
