Timestamp,Heart_rate,RR intervals
2023-04-30 23:03:50,119,"[496, 487]"
2023-04-30 23:03:51,121,"[486, 484]"
2023-04-30 23:03:52,122,[486]
2023-04-30 23:03:53,124,"[524, 803]"
2023-04-30 23:03:54,124,[790]
2023-04-30 23:03:55,124,[793]
2023-04-30 23:03:56,122,"[775, 696]"
2023-04-30 23:03:57,122,[641]
2023-04-30 23:03:58,106,"[692, 653]"
2023-04-30 23:03:59,99,[863]
2023-04-30 23:04:00,90,"[799, 699]"
2023-04-30 23:04:01,89,[661]
2023-04-30 23:04:02,90,"[620, 624]"
2023-04-30 23:04:03,92,"[637, 636]"
2023-04-30 23:04:04,93,[620]
2023-04-30 23:04:05,95,"[587, 573]"
2023-04-30 23:04:06,99,"[571, 565]"
2023-04-30 23:04:07,102,"[591, 612]"
2023-04-30 23:04:08,102,[608]
2023-04-30 23:04:09,102,"[613, 583]"
2023-04-30 23:04:10,102,"[585, 553]"
2023-04-30 23:04:11,105,"[555, 557]"
2023-04-30 23:04:12,106,[570]
2023-04-30 23:04:13,107,"[592, 580]"
2023-04-30 23:04:14,106,"[576, 563]"
2023-04-30 23:04:15,107,"[563, 553]"
2023-04-30 23:04:16,109,"[532, 538]"
2023-04-30 23:04:17,110,"[558, 582]"
2023-04-30 23:04:18,110,[557]
2023-04-30 23:04:19,109,"[577, 557]"
2023-04-30 23:04:20,109,"[553, 551]"
2023-04-30 23:04:21,110,"[553, 573]"
2023-04-30 23:04:22,109,"[569, 580]"
2023-04-30 23:04:23,109,[595]
2023-04-30 23:04:24,106,"[634, 588]"
2023-04-30 23:04:25,104,"[640, 580]"
2023-04-30 23:04:26,104,"[603, 582]"
2023-04-30 23:04:27,104,[571]
2023-04-30 23:04:28,105,"[553, 548]"
2023-04-30 23:04:29,108,"[542, 548]"
2023-04-30 23:04:30,109,"[578, 586]"
2023-04-30 23:04:31,108,"[583, 555]"
2023-04-30 23:04:32,108,"[571, 538]"
2023-04-30 23:04:33,109,[538]
2023-04-30 23:04:34,111,"[541, 547]"
2023-04-30 23:04:35,111,"[558, 555]"
2023-04-30 23:04:36,111,"[564, 589]"
2023-04-30 23:04:37,109,"[551, 549]"
2023-04-30 23:04:38,110,"[543, 536]"
2023-04-30 23:04:39,112,"[532, 525]"
2023-04-30 23:04:40,113,"[531, 518]"
