Timestamp,Heart_rate,RR intervals
2023-05-01 15:41:20,99,[607]
2023-05-01 15:41:21,100,"[611, 630]"
2023-05-01 15:41:22,99,[648]
2023-05-01 15:41:23,98,"[665, 722]"
2023-05-01 15:41:24,96,[750]
2023-05-01 15:41:25,92,"[711, 743]"
2023-05-01 15:41:26,91,[695]
2023-05-01 15:41:27,90,"[688, 716]"
2023-05-01 15:41:28,90,[702]
2023-05-01 15:41:29,89,"[646, 667]"
2023-05-01 15:41:30,90,[639]
2023-05-01 15:41:31,92,"[630, 606]"
2023-05-01 15:41:32,94,"[607, 607]"
2023-05-01 15:41:33,96,"[613, 616]"
2023-05-01 15:41:34,97,[614]
2023-05-01 15:41:35,98,"[609, 604]"
2023-05-01 15:41:36,99,[627]
2023-05-01 15:41:37,99,"[642, 661]"
2023-05-01 15:41:38,98,[670]
2023-05-01 15:41:39,96,"[675, 662]"
2023-05-01 15:41:40,95,"[650, 630]"
2023-05-01 15:41:41,95,[625]
2023-05-01 15:41:42,96,"[607, 604]"
2023-05-01 15:41:43,98,"[608, 623]"
2023-05-01 15:41:44,98,[624]
2023-05-01 15:41:45,98,"[637, 669]"
2023-05-01 15:41:46,97,[664]
2023-05-01 15:41:47,95,"[695, 666]"
2023-05-01 15:41:48,94,[682]
2023-05-01 15:41:49,93,"[680, 628]"
2023-05-01 15:41:50,94,"[625, 602]"
2023-05-01 15:41:51,97,"[595, 590]"
2023-05-01 15:41:52,98,[596]
2023-05-01 15:41:53,100,"[605, 620]"
2023-05-01 15:41:54,100,[628]
2023-05-01 15:41:55,99,"[638, 640]"
2023-05-01 15:41:56,98,[677]
2023-05-01 15:41:57,96,"[684, 729]"
2023-05-01 15:41:58,94,[723]
2023-05-01 15:41:59,92,"[676, 692]"
2023-05-01 15:42:00,92,[674]
2023-05-01 15:42:01,91,"[685, 698]"
2023-05-01 15:42:02,91,[671]
2023-05-01 15:42:03,91,"[658, 657]"
2023-05-01 15:42:04,92,"[629, 628]"
2023-05-01 15:42:05,93,[623]
2023-05-01 15:42:06,95,"[613, 597]"
2023-05-01 15:42:07,97,"[607, 618]"
2023-05-01 15:42:08,98,[647]
2023-05-01 15:42:09,97,"[652, 651]"
2023-05-01 15:42:10,96,[643]
2023-05-01 15:42:11,96,"[623, 615]"
2023-05-01 15:42:12,98,"[605, 603]"
2023-05-01 15:42:13,99,"[600, 604]"
2023-05-01 15:42:14,100,[600]
2023-05-01 15:42:15,100,"[614, 653]"
2023-05-01 15:42:16,100,[685]
2023-05-01 15:42:17,97,"[669, 659]"
2023-05-01 15:42:18,96,[662]
2023-05-01 15:42:19,95,"[672, 669]"
2023-05-01 15:42:20,94,[660]
2023-05-01 15:42:21,94,"[654, 647]"
2023-05-01 15:42:22,94,[648]
2023-05-01 15:42:23,94,"[667, 684]"
2023-05-01 15:42:24,93,"[677, 656]"
2023-05-01 15:42:25,93,[649]
2023-05-01 15:42:26,93,"[647, 646]"
2023-05-01 15:42:27,94,"[615, 616]"
2023-05-01 15:42:28,95,[594]
2023-05-01 15:42:29,98,"[571, 566]"
2023-05-01 15:42:30,102,"[548, 546]"
2023-05-01 15:42:31,106,"[539, 533]"
2023-05-01 15:42:32,109,"[532, 546]"
2023-05-01 15:42:33,110,[588]
2023-05-01 15:42:34,108,"[610, 638]"
2023-05-01 15:42:35,104,"[635, 645]"
2023-05-01 15:42:36,103,[636]
2023-05-01 15:42:37,101,"[606, 601]"
2023-05-01 15:42:39,102,"[582, 571]"
2023-05-01 15:42:39,104,"[565, 576]"
2023-05-01 15:42:40,105,[580]
2023-05-01 15:42:42,105,"[590, 577]"
2023-05-01 15:42:42,105,"[570, 567]"
2023-05-01 15:42:43,107,"[559, 554]"
2023-05-01 15:42:44,108,"[553, 559]"
2023-05-01 15:42:45,109,"[572, 573]"
2023-05-01 15:42:46,108,[572]
2023-05-01 15:42:47,108,"[563, 564]"
2023-05-01 15:42:48,108,"[564, 554]"
2023-05-01 15:42:49,109,"[549, 542]"
2023-05-01 15:42:50,111,"[546, 548]"
2023-05-01 15:42:51,111,"[558, 572]"
2023-05-01 15:42:52,111,[581]
2023-05-01 15:42:53,109,"[599, 623]"
2023-05-01 15:42:54,107,[666]
2023-05-01 15:42:55,102,"[681, 673]"
2023-05-01 15:42:56,100,[677]
2023-05-01 15:42:57,97,"[676, 653]"
2023-05-01 15:42:58,96,"[635, 624]"
2023-05-01 15:42:59,96,[607]
2023-05-01 15:43:00,98,"[580, 589]"
2023-05-01 15:43:01,100,"[596, 603]"
2023-05-01 15:43:02,101,[622]
2023-05-01 15:43:03,100,"[644, 654]"
2023-05-01 15:43:04,99,[648]
2023-05-01 15:43:05,97,"[650, 646]"
2023-05-01 15:43:06,96,"[654, 634]"
2023-05-01 15:43:07,96,[621]
2023-05-01 15:43:08,97,"[621, 601]"
2023-05-01 15:43:09,98,"[605, 621]"
2023-05-01 15:43:10,99,[606]
2023-05-01 15:43:11,99,"[609, 609]"
2023-05-01 15:43:12,100,[630]
2023-05-01 15:43:13,99,"[652, 658]"
2023-05-01 15:43:14,97,"[656, 646]"
2023-05-01 15:43:15,97,[625]
2023-05-01 15:43:16,97,"[621, 617]"
2023-05-01 15:43:17,98,"[609, 603]"
2023-05-01 15:43:18,99,[610]
2023-05-01 15:43:19,99,"[620, 644]"
2023-05-01 15:43:20,99,[666]
2023-05-01 15:43:21,97,"[681, 665]"
2023-05-01 15:43:22,96,[669]
2023-05-01 15:43:23,94,"[672, 675]"
2023-05-01 15:43:24,93,"[672, 658]"
2023-05-01 15:43:25,93,[643]
2023-05-01 15:43:26,94,"[631, 623]"
2023-05-01 15:43:27,96,"[601, 604]"
2023-05-01 15:43:28,97,[606]
2023-05-01 15:43:29,98,"[628, 649]"
2023-05-01 15:43:31,98,[651]
2023-05-01 15:43:31,96,"[666, 657]"
2023-05-01 15:43:32,96,[701]
2023-05-01 15:43:33,95,[748]
2023-05-01 15:43:34,91,"[757, 762]"
2023-05-01 15:43:35,90,[767]
2023-05-01 15:43:36,87,"[735, 690]"
2023-05-01 15:43:37,87,[658]
2023-05-01 15:43:38,89,"[628, 632]"
2023-05-01 15:43:39,91,"[628, 620]"
2023-05-01 15:43:40,92,[641]
2023-05-01 15:43:41,94,"[616, 630]"
2023-05-01 15:43:42,95,[634]
2023-05-01 15:43:43,95,"[655, 671]"
2023-05-01 15:43:44,95,[682]
2023-05-01 15:43:45,93,"[681, 679]"
2023-05-01 15:43:46,93,"[665, 630]"
2023-05-01 15:43:47,93,[634]
2023-05-01 15:43:48,95,"[611, 612]"
2023-05-01 15:43:49,97,"[608, 591]"
2023-05-01 15:43:50,99,"[582, 565]"
2023-05-01 15:43:51,101,[557]
2023-05-01 15:43:52,104,"[563, 564]"
2023-05-01 15:43:53,105,[590]
2023-05-01 15:43:54,103,"[692, 770]"
2023-05-01 15:43:55,96,[785]
2023-05-01 15:43:57,90,[783]
2023-05-01 15:43:57,87,"[780, 733]"
2023-05-01 15:43:58,86,"[700, 666]"
2023-05-01 15:43:59,87,[635]
2023-05-01 15:44:00,89,"[616, 617]"
2023-05-01 15:44:01,91,[620]
2023-05-01 15:44:02,93,"[612, 638]"
2023-05-01 15:44:03,94,"[642, 628]"
2023-05-01 15:44:04,95,[630]
2023-05-01 15:44:05,96,"[635, 633]"
2023-05-01 15:44:06,96,[650]
2023-05-01 15:44:07,95,"[670, 692]"
2023-05-01 15:44:08,94,[675]
2023-05-01 15:44:09,93,"[673, 662]"
2023-05-01 15:44:10,93,[670]
2023-05-01 15:44:11,93,"[662, 666]"
2023-05-01 15:44:12,93,"[669, 654]"
2023-05-01 15:44:13,93,[613]
2023-05-01 15:44:14,94,"[625, 622]"
2023-05-01 15:44:15,96,"[599, 607]"
2023-05-01 15:44:16,97,[609]
2023-05-01 15:44:17,98,"[612, 616]"
2023-05-01 15:44:18,99,"[624, 614]"
2023-05-01 15:44:19,99,[620]
2023-05-01 15:44:21,99,"[626, 619]"
2023-05-01 15:44:21,99,"[631, 616]"
2023-05-01 15:44:22,99,"[620, 577]"
2023-05-01 15:44:23,100,[573]
2023-05-01 15:44:24,102,"[572, 558]"
2023-05-01 15:44:25,105,"[563, 569]"
2023-05-01 15:44:26,106,[583]
2023-05-01 15:44:27,105,"[606, 634]"
2023-05-01 15:44:28,104,[646]
2023-05-01 15:44:29,100,"[692, 702]"
2023-05-01 15:44:30,98,[711]
2023-05-01 15:44:31,94,"[703, 702]"
2023-05-01 15:44:32,93,[689]
2023-05-01 15:44:33,92,"[684, 678]"
2023-05-01 15:44:34,92,[667]
2023-05-01 15:44:35,92,"[649, 660]"
2023-05-01 15:44:36,92,[654]
2023-05-01 15:44:37,93,"[644, 677]"
2023-05-01 15:44:38,92,"[687, 707]"
2023-05-01 15:44:39,92,[654]
2023-05-01 15:44:40,91,[670]
2023-05-01 15:44:41,92,"[684, 706]"
2023-05-01 15:44:42,91,[720]
2023-05-01 15:44:43,90,"[716, 724]"
2023-05-01 15:44:44,89,[726]
2023-05-01 15:44:45,88,"[678, 690]"
2023-05-01 15:44:47,89,"[638, 610]"
2023-05-01 15:44:47,90,[610]
2023-05-01 15:44:48,94,"[600, 616]"
2023-05-01 15:44:49,95,[631]
2023-05-01 15:44:50,96,"[640, 641]"
2023-05-01 15:44:51,96,[653]
2023-05-01 15:44:52,95,"[678, 707]"
2023-05-01 15:44:53,94,[728]
2023-05-01 15:44:54,91,"[733, 731]"
2023-05-01 15:44:55,90,[712]
2023-05-01 15:44:56,89,"[705, 686]"
2023-05-01 15:44:57,89,[654]
2023-05-01 15:44:58,90,"[662, 654]"
2023-05-01 15:44:59,90,[647]
2023-05-01 15:45:00,92,"[654, 674]"
2023-05-01 15:45:01,92,[686]
2023-05-01 15:45:02,91,"[669, 671]"
2023-05-01 15:45:03,91,"[670, 658]"
2023-05-01 15:45:04,92,[656]
2023-05-01 15:45:05,92,"[648, 645]"
2023-05-01 15:45:06,93,[633]
2023-05-01 15:45:07,94,"[645, 658]"
2023-05-01 15:45:08,94,"[639, 651]"
2023-05-01 15:45:09,94,[623]
2023-05-01 15:45:10,96,"[608, 588]"
2023-05-01 15:45:11,98,"[607, 614]"
2023-05-01 15:45:12,98,[585]
2023-05-01 15:45:13,100,"[624, 585]"
2023-05-01 15:45:14,101,"[601, 608]"
2023-05-01 15:45:15,101,[616]
2023-05-01 15:45:16,101,[655]
2023-05-01 15:45:17,98,"[719, 739]"
2023-05-01 15:45:18,95,[731]
2023-05-01 15:45:19,92,"[730, 721]"
2023-05-01 15:45:20,91,[718]
2023-05-01 15:45:21,89,"[687, 655]"
2023-05-01 15:45:22,90,[668]
2023-05-01 15:45:23,91,"[658, 674]"
2023-05-01 15:45:24,91,"[671, 659]"
2023-05-01 15:45:25,91,[644]
2023-05-01 15:45:26,93,"[624, 607]"
2023-05-01 15:45:27,95,"[603, 608]"
2023-05-01 15:45:28,96,[628]
2023-05-01 15:45:29,97,"[641, 635]"
2023-05-01 15:45:30,97,[605]
2023-05-01 15:45:31,98,"[624, 624]"
2023-05-01 15:45:32,98,"[637, 627]"
2023-05-01 15:45:33,98,[664]
2023-05-01 15:45:34,96,"[684, 670]"
2023-05-01 15:45:35,95,[674]
2023-05-01 15:45:37,94,"[638, 658]"
2023-05-01 15:45:37,94,[683]
2023-05-01 15:45:38,94,[719]
2023-05-01 15:45:39,91,"[742, 754]"
2023-05-01 15:45:40,90,[742]
2023-05-01 15:45:41,88,"[720, 699]"
2023-05-01 15:45:42,88,"[672, 633]"
2023-05-01 15:45:43,89,[624]
2023-05-01 15:45:44,92,"[614, 625]"
2023-05-01 15:45:45,93,[653]
2023-05-01 15:45:46,93,[691]
2023-05-01 15:45:47,92,"[724, 748]"
2023-05-01 15:45:48,91,[746]
2023-05-01 15:45:49,88,"[784, 780]"
2023-05-01 15:45:50,87,[692]
2023-05-01 15:45:51,87,"[704, 717]"
2023-05-01 15:45:52,87,[696]
2023-05-01 15:45:53,87,"[702, 690]"
2023-05-01 15:45:54,87,[683]
2023-05-01 15:45:55,88,"[673, 634]"
2023-05-01 15:45:56,89,[640]
2023-05-01 15:45:57,91,"[636, 651]"
2023-05-01 15:45:58,92,"[627, 654]"
2023-05-01 15:45:59,93,[645]
2023-05-01 15:46:00,93,"[653, 657]"
2023-05-01 15:46:01,93,[660]
2023-05-01 15:46:02,93,"[665, 657]"
2023-05-01 15:46:03,93,[659]
2023-05-01 15:46:04,93,"[661, 643]"
2023-05-01 15:46:05,93,[651]
2023-05-01 15:46:06,94,"[641, 647]"
2023-05-01 15:46:07,94,"[644, 642]"
2023-05-01 15:46:08,95,[635]
2023-05-01 15:46:09,95,"[657, 637]"
2023-05-01 15:46:10,95,[634]
2023-05-01 15:46:11,96,"[635, 661]"
2023-05-01 15:46:12,95,[680]
2023-05-01 15:46:13,94,"[705, 707]"
2023-05-01 15:46:14,93,[671]
2023-05-01 15:46:15,92,"[659, 647]"
2023-05-01 15:46:16,93,"[641, 630]"
2023-05-01 15:46:17,94,[621]
2023-05-01 15:46:18,95,"[603, 615]"
2023-05-01 15:46:19,97,"[616, 644]"
2023-05-01 15:46:20,97,[662]
2023-05-01 15:46:21,97,[685]
2023-05-01 15:46:22,94,"[692, 712]"
2023-05-01 15:46:23,93,[709]
2023-05-01 15:46:24,91,"[713, 715]"
2023-05-01 15:46:25,90,[702]
2023-05-01 15:46:26,90,"[693, 669]"
2023-05-01 15:46:27,90,[671]
2023-05-01 15:46:28,90,"[662, 662]"
2023-05-01 15:46:29,91,"[668, 667]"
2023-05-01 15:46:30,91,[644]
2023-05-01 15:46:31,92,"[659, 648]"
2023-05-01 15:46:32,92,[618]
2023-05-01 15:46:33,94,"[606, 621]"
2023-05-01 15:46:34,96,"[622, 625]"
2023-05-01 15:46:35,97,"[625, 600]"
2023-05-01 15:46:36,97,[598]
2023-05-01 15:46:37,99,"[587, 582]"
2023-05-01 15:46:38,102,"[575, 571]"
2023-05-01 15:46:39,104,"[579, 575]"
2023-05-01 15:46:40,105,"[565, 558]"
2023-05-01 15:46:41,106,[555]
2023-05-01 15:46:42,108,"[546, 543]"
2023-05-01 15:46:43,110,"[545, 545]"
2023-05-01 15:46:44,111,"[552, 565]"
2023-05-01 15:46:45,110,"[576, 562]"
2023-05-01 15:46:46,110,[569]
2023-05-01 15:46:47,109,"[579, 595]"
2023-05-01 15:46:48,107,"[620, 644]"
2023-05-01 15:46:49,105,[658]
2023-05-01 15:46:50,101,"[619, 610]"
2023-05-01 15:46:51,101,"[628, 610]"
2023-05-01 15:46:52,100,[597]
2023-05-01 15:46:53,101,"[602, 610]"
2023-05-01 15:46:54,101,"[620, 625]"
2023-05-01 15:46:55,100,[622]
2023-05-01 15:46:56,100,"[615, 595]"
2023-05-01 15:46:57,101,"[583, 575]"
2023-05-01 15:46:58,103,"[569, 559]"
2023-05-01 15:46:59,106,"[550, 544]"
2023-05-01 15:47:00,108,"[542, 534]"
2023-05-01 15:47:01,111,"[532, 528]"
2023-05-01 15:47:02,113,"[524, 521]"
2023-05-01 15:47:03,115,"[518, 520]"
2023-05-01 15:47:04,115,[530]
2023-05-01 15:47:05,116,"[537, 547]"
2023-05-01 15:47:06,114,"[564, 563]"
2023-05-01 15:47:07,112,"[574, 570]"
2023-05-01 15:47:08,111,[580]
2023-05-01 15:47:09,109,"[594, 589]"
2023-05-01 15:47:10,107,"[600, 605]"
2023-05-01 15:47:11,106,"[578, 569]"
2023-05-01 15:47:12,106,[577]
2023-05-01 15:47:13,106,"[577, 585]"
2023-05-01 15:47:14,106,"[585, 588]"
2023-05-01 15:47:15,105,"[602, 612]"
2023-05-01 15:47:16,104,[619]
2023-05-01 15:47:17,103,"[614, 607]"
2023-05-01 15:47:18,102,"[603, 589]"
2023-05-01 15:47:19,102,[587]
2023-05-01 15:47:20,103,"[588, 585]"
2023-05-01 15:47:21,103,"[614, 633]"
2023-05-01 15:47:22,102,[667]
2023-05-01 15:47:23,101,[692]
2023-05-01 15:47:24,96,"[716, 715]"
2023-05-01 15:47:25,95,[673]
2023-05-01 15:47:26,93,"[683, 654]"
2023-05-01 15:47:27,93,"[662, 661]"
2023-05-01 15:47:28,93,[656]
2023-05-01 15:47:29,93,"[657, 644]"
2023-05-01 15:47:30,94,"[624, 617]"
2023-05-01 15:47:31,95,[600]
2023-05-01 15:47:32,97,"[588, 591]"
2023-05-01 15:47:33,100,"[581, 583]"
2023-05-01 15:47:34,102,"[588, 586]"
2023-05-01 15:47:35,102,[575]
2023-05-01 15:47:36,104,"[567, 570]"
2023-05-01 15:47:37,105,"[576, 570]"
2023-05-01 15:47:38,106,"[567, 560]"
2023-05-01 15:47:39,107,"[557, 556]"
2023-05-01 15:47:41,108,"[557, 554]"
2023-05-01 15:47:41,109,"[549, 543]"
2023-05-01 15:47:42,110,[536]
2023-05-01 15:47:43,112,"[534, 539]"
2023-05-01 15:47:44,112,"[553, 596]"
2023-05-01 15:47:45,111,[661]
2023-05-01 15:47:46,106,[708]
2023-05-01 15:47:47,97,"[725, 705]"
2023-05-01 15:47:48,95,[715]
2023-05-01 15:47:49,92,"[716, 685]"
2023-05-01 15:47:50,91,"[681, 664]"
2023-05-01 15:47:51,91,[643]
2023-05-01 15:47:52,92,"[639, 629]"
2023-05-01 15:47:53,94,"[609, 613]"
2023-05-01 15:47:54,95,[600]
2023-05-01 15:47:55,98,"[594, 600]"
2023-05-01 15:47:56,99,"[588, 593]"
2023-05-01 15:47:57,101,"[589, 578]"
2023-05-01 15:47:58,102,[582]
2023-05-01 15:47:59,103,"[582, 594]"
2023-05-01 15:48:00,104,[636]
2023-05-01 15:48:01,101,"[670, 719]"
2023-05-01 15:48:02,99,[726]
2023-05-01 15:48:03,94,"[722, 697]"
2023-05-01 15:48:04,93,[680]
2023-05-01 15:48:05,92,"[673, 662]"
2023-05-01 15:48:06,92,[653]
2023-05-01 15:48:07,93,"[645, 625]"
2023-05-01 15:48:08,94,"[613, 597]"
2023-05-01 15:48:09,97,"[587, 574]"
2023-05-01 15:48:10,99,[575]
2023-05-01 15:48:11,102,"[570, 567]"
2023-05-01 15:48:12,104,"[562, 565]"
2023-05-01 15:48:13,106,"[558, 549]"
2023-05-01 15:48:14,108,"[551, 546]"
2023-05-01 15:48:15,109,"[550, 558]"
2023-05-01 15:48:16,110,"[549, 539]"
2023-05-01 15:48:17,111,[550]
2023-05-01 15:48:18,111,"[559, 581]"
2023-05-01 15:48:19,110,[623]
2023-05-01 15:48:20,106,"[652, 681]"
2023-05-01 15:48:21,103,[683]
2023-05-01 15:48:22,99,"[681, 664]"
2023-05-01 15:48:23,96,"[665, 658]"
2023-05-01 15:48:24,96,[624]
2023-05-01 15:48:25,96,"[617, 605]"
2023-05-01 15:48:26,98,"[616, 620]"
2023-05-01 15:48:28,98,[634]
2023-05-01 15:48:28,98,"[628, 621]"
2023-05-01 15:48:29,98,"[606, 601]"
2023-05-01 15:48:30,99,[603]
2023-05-01 15:48:31,100,"[612, 612]"
2023-05-01 15:48:32,100,"[618, 617]"
2023-05-01 15:48:33,100,[608]
2023-05-01 15:48:34,100,"[608, 601]"
2023-05-01 15:48:35,101,"[610, 618]"
2023-05-01 15:48:36,101,[637]
2023-05-01 15:48:37,99,"[644, 650]"
2023-05-01 15:48:38,98,"[642, 623]"
2023-05-01 15:48:39,98,[609]
2023-05-01 15:48:40,99,"[603, 583]"
2023-05-01 15:48:41,101,"[569, 561]"
2023-05-01 15:48:42,104,"[566, 579]"
2023-05-01 15:48:43,105,[611]
2023-05-01 15:48:44,103,"[623, 621]"
2023-05-01 15:48:45,102,"[620, 613]"
2023-05-01 15:48:46,101,[599]
2023-05-01 15:48:47,102,"[604, 600]"
2023-05-01 15:48:48,102,"[584, 580]"
2023-05-01 15:48:49,103,"[575, 573]"
2023-05-01 15:48:50,104,[578]
2023-05-01 15:48:51,105,"[595, 610]"
