Timestamp,Heart_rate,RR intervals
2023-05-01 20:28:54,71,"[1768, 4731]"
2023-05-01 20:28:55,70,[778]
2023-05-01 20:28:56,70,"[689, 660]"
2023-05-01 20:28:57,71,[697]
2023-05-01 20:28:58,72,"[740, 772]"
2023-05-01 20:28:59,73,[772]
2023-05-01 20:29:00,74,[723]
2023-05-01 20:29:01,76,"[736, 732]"
2023-05-01 20:29:02,77,"[753, 668]"
2023-05-01 20:29:03,78,[655]
2023-05-01 20:29:04,78,
2023-05-01 20:29:05,79,[1384]
2023-05-01 20:29:06,82,"[670, 755]"
2023-05-01 20:29:07,82,[895]
2023-05-01 20:29:08,80,"[816, 782]"
2023-05-01 20:29:09,80,"[776, 320]"
2023-05-01 20:29:10,79,[457]
2023-05-01 20:29:11,79,"[788, 704]"
2023-05-01 20:29:12,80,[665]
2023-05-01 20:29:13,82,[743]
2023-05-01 20:29:14,83,[897]
2023-05-01 20:29:15,82,[896]
2023-05-01 20:29:16,79,"[842, 782]"
2023-05-01 20:29:17,79,[733]
2023-05-01 20:29:18,80,"[682, 680]"
2023-05-01 20:29:19,81,[703]
2023-05-01 20:29:20,82,"[697, 667]"
2023-05-01 20:29:21,83,[666]
2023-05-01 20:29:22,85,"[678, 708]"
2023-05-01 20:29:23,86,[725]
2023-05-01 20:29:24,86,[765]
2023-05-01 20:29:26,85,"[753, 772]"
2023-05-01 20:29:27,84,[762]
2023-05-01 20:29:28,84,"[719, 730]"
2023-05-01 20:29:29,84,[726]
2023-05-01 20:29:30,84,[695]
2023-05-01 20:29:31,84,"[740, 778]"
2023-05-01 20:29:32,84,[789]
2023-05-01 20:29:33,83,[790]
2023-05-01 20:29:34,83,[770]
2023-05-01 20:29:35,82,"[818, 852]"
2023-05-01 20:29:36,81,[863]
2023-05-01 20:29:37,80,[862]
2023-05-01 20:29:38,79,[826]
2023-05-01 20:29:39,78,[803]
2023-05-01 20:29:40,78,"[858, 862]"
2023-05-01 20:29:41,77,[885]
2023-05-01 20:29:42,76,[874]
2023-05-01 20:29:43,76,[873]
2023-05-01 20:29:44,75,"[813, 797]"
2023-05-01 20:29:45,75,[810]
2023-05-01 20:29:46,75,[797]
2023-05-01 20:29:46,75,[787]
2023-05-01 20:29:47,76,[835]
2023-05-01 20:29:48,75,"[876, 862]"
2023-05-01 20:29:49,75,[802]
2023-05-01 20:29:50,75,[828]
2023-05-01 20:29:51,75,"[836, 792]"
2023-05-01 20:29:52,75,[807]
2023-05-01 20:29:53,75,[806]
2023-05-01 20:29:54,75,[822]
2023-05-01 20:29:55,75,"[832, 767]"
2023-05-01 20:29:56,75,[782]
2023-05-01 20:29:57,76,[824]
2023-05-01 20:29:58,76,[845]
2023-05-01 20:29:59,76,[845]
2023-05-01 20:30:00,75,"[843, 845]"
2023-05-01 20:30:01,75,[801]
2023-05-01 20:30:02,75,[808]
2023-05-01 20:30:03,75,"[832, 824]"
2023-05-01 20:30:04,75,[823]
2023-05-01 20:30:05,75,[798]
2023-05-01 20:30:06,75,[755]
2023-05-01 20:30:07,76,"[765, 789]"
2023-05-01 20:30:08,76,[816]
2023-05-01 20:30:09,76,[806]
2023-05-01 20:30:10,76,[813]
2023-05-01 20:30:12,76,"[860, 855]"
2023-05-01 20:30:12,75,[803]
2023-05-01 20:30:13,75,[824]
2023-05-01 20:30:15,75,"[807, 771]"
2023-05-01 20:30:16,76,[765]
2023-05-01 20:30:17,76,[771]
2023-05-01 20:30:18,77,"[766, 742]"
2023-05-01 20:30:19,77,[781]
2023-05-01 20:30:20,78,[826]
2023-05-01 20:30:21,77,"[808, 776]"
2023-05-01 20:30:22,77,[747]
2023-05-01 20:30:23,78,[743]
2023-05-01 20:30:24,79,"[733, 721]"
2023-05-01 20:30:25,79,[702]
2023-05-01 20:30:26,80,[746]
2023-05-01 20:30:27,81,"[766, 790]"
2023-05-01 20:30:28,80,[761]
2023-05-01 20:30:29,80,[778]
2023-05-01 20:30:30,80,"[786, 738]"
2023-05-01 20:30:31,80,[734]
2023-05-01 20:30:32,81,"[776, 774]"
2023-05-01 20:30:33,80,[724]
2023-05-01 20:30:34,81,[707]
2023-05-01 20:30:36,82,"[726, 775]"
2023-05-01 20:30:36,82,[763]
2023-05-01 20:30:36,81,[724]
2023-05-01 20:30:37,82,"[740, 795]"
2023-05-01 20:30:38,82,[805]
2023-05-01 20:30:39,81,[769]
2023-05-01 20:30:40,81,"[765, 789]"
2023-05-01 20:30:41,81,[792]
2023-05-01 20:30:42,80,[765]
2023-05-01 20:30:43,80,"[756, 793]"
2023-05-01 20:30:44,80,[788]
2023-05-01 20:30:45,80,[734]
2023-05-01 20:30:46,80,"[752, 777]"
2023-05-01 20:30:47,80,[785]
2023-05-01 20:30:48,80,[771]
2023-05-01 20:30:49,80,[802]
2023-05-01 20:30:50,79,"[820, 781]"
2023-05-01 20:30:51,79,[802]
2023-05-01 20:30:52,79,[807]
2023-05-01 20:30:53,79,"[783, 765]"
2023-05-01 20:30:54,79,[786]
2023-05-01 20:30:55,79,[755]
2023-05-01 20:30:56,79,"[727, 780]"
2023-05-01 20:30:57,79,[789]
2023-05-01 20:30:58,79,[778]
2023-05-01 20:30:59,79,"[772, 814]"
2023-05-01 20:31:01,79,[812]
2023-05-01 20:31:01,79,[763]
2023-05-01 20:31:03,79,[802]
2023-05-01 20:31:03,78,"[812, 754]"
2023-05-01 20:31:05,78,[776]
2023-05-01 20:31:06,79,[785]
2023-05-01 20:31:07,79,"[760, 741]"
2023-05-01 20:31:08,79,[778]
2023-05-01 20:31:09,79,[771]
2023-05-01 20:31:10,79,"[748, 795]"
2023-05-01 20:31:11,79,[811]
2023-05-01 20:31:12,79,[761]
2023-05-01 20:31:13,79,[802]
2023-05-01 20:31:14,79,"[851, 841]"
2023-05-01 20:31:15,78,[780]
2023-05-01 20:31:16,78,[826]
2023-05-01 20:31:17,77,"[816, 775]"
2023-05-01 20:31:18,77,[788]
2023-05-01 20:31:19,77,[787]
2023-05-01 20:31:20,78,"[758, 743]"
2023-05-01 20:31:21,78,[816]
2023-05-01 20:31:22,78,[831]
2023-05-01 20:31:23,78,[813]
2023-05-01 20:31:24,78,[845]
2023-05-01 20:31:25,77,"[857, 813]"
2023-05-01 20:31:25,76,[801]
2023-05-01 20:31:26,76,[848]
2023-05-01 20:31:27,76,"[819, 778]"
2023-05-01 20:31:28,76,[798]
2023-05-01 20:31:29,76,[764]
2023-05-01 20:31:30,77,"[715, 690]"
2023-05-01 20:31:31,78,[717]
2023-05-01 20:31:32,80,"[739, 744]"
2023-05-01 20:31:33,80,[700]
2023-05-01 20:31:34,81,[743]
2023-05-01 20:31:35,81,"[759, 783]"
2023-05-01 20:31:36,81,[725]
2023-05-01 20:31:37,81,"[722, 744]"
2023-05-01 20:31:38,82,[735]
2023-05-01 20:31:39,82,[703]
2023-05-01 20:31:40,83,"[706, 743]"
2023-05-01 20:31:41,83,[734]
2023-05-01 20:31:42,83,"[706, 697]"
2023-05-01 20:31:43,84,[717]
2023-05-01 20:31:44,84,"[715, 712]"
2023-05-01 20:31:45,85,[672]
2023-05-01 20:31:46,86,"[686, 701]"
2023-05-01 20:31:48,86,[711]
2023-05-01 20:31:48,87,"[675, 651]"
2023-05-01 20:31:49,87,[664]
2023-05-01 20:31:51,89,"[703, 726]"
2023-05-01 20:31:51,88,[712]
2023-05-01 20:31:53,88,[708]
2023-05-01 20:31:54,87,"[730, 759]"
2023-05-01 20:31:55,87,[745]
2023-05-01 20:31:56,86,"[714, 707]"
2023-05-01 20:31:57,86,[726]
2023-05-01 20:31:58,86,"[733, 738]"
2023-05-01 20:31:59,85,[684]
2023-05-01 20:32:00,85,[700]
2023-05-01 20:32:01,86,"[718, 729]"
2023-05-01 20:32:02,86,[698]
2023-05-01 20:32:03,86,"[665, 685]"
2023-05-01 20:32:04,87,[741]
2023-05-01 20:32:05,87,[792]
2023-05-01 20:32:06,85,"[725, 724]"
2023-05-01 20:32:07,85,[731]
2023-05-01 20:32:08,85,"[728, 687]"
2023-05-01 20:32:09,85,[656]
2023-05-01 20:32:10,87,"[692, 713]"
2023-05-01 20:32:11,87,[719]
2023-05-01 20:32:12,87,"[689, 703]"
2023-05-01 20:32:13,87,[701]
2023-05-01 20:32:14,87,"[704, 677]"
2023-05-01 20:32:15,87,[656]
2023-05-01 20:32:15,89,"[681, 708]"
2023-05-01 20:32:16,89,[731]
2023-05-01 20:32:17,88,[703]
2023-05-01 20:32:18,87,"[743, 771]"
2023-05-01 20:32:19,87,[747]
2023-05-01 20:32:20,85,"[770, 741]"
2023-05-01 20:32:21,85,[692]
2023-05-01 20:32:22,85,[703]
2023-05-01 20:32:23,85,"[709, 706]"
2023-05-01 20:32:24,86,[671]
2023-05-01 20:32:25,87,"[690, 706]"
2023-05-01 20:32:26,87,[717]
2023-05-01 20:32:27,87,"[718, 717]"
2023-05-01 20:32:28,86,[683]
2023-05-01 20:32:29,87,[702]
2023-05-01 20:32:30,87,"[728, 776]"
2023-05-01 20:32:31,86,[737]
2023-05-01 20:32:32,85,"[740, 744]"
2023-05-01 20:32:33,85,[754]
2023-05-01 20:32:34,85,"[691, 690]"
2023-05-01 20:32:35,85,[701]
2023-05-01 20:32:36,86,"[689, 638]"
2023-05-01 20:32:37,87,[629]
2023-05-01 20:32:39,89,"[642, 633]"
2023-05-01 20:32:39,90,[630]
2023-05-01 20:32:41,92,"[661, 718]"
2023-05-01 20:32:41,92,[746]
2023-05-01 20:32:43,89,"[729, 717]"
2023-05-01 20:32:44,89,[741]
2023-05-01 20:32:45,87,"[753, 733]"
2023-05-01 20:32:46,87,[686]
2023-05-01 20:32:47,87,[671]
